<meta message track_name name='Track 2' time=0>
<meta message instrument_name name='Microsoft GS ²¨±íÈí¼þºÏ³ÉÆ÷' time=0>
<meta message key_signature key='Bb' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
note_on channel=0 note=39 velocity=80 time=0
note_off channel=0 note=39 velocity=64 time=216
note_on channel=0 note=46 velocity=80 time=24
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=864
note_on channel=0 note=39 velocity=80 time=96
note_off channel=0 note=39 velocity=64 time=432
note_on channel=0 note=41 velocity=80 time=48
note_off channel=0 note=41 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=864
note_on channel=0 note=41 velocity=80 time=96
note_off channel=0 note=41 velocity=64 time=432
note_on channel=0 note=43 velocity=80 time=48
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=864
note_on channel=0 note=55 velocity=80 time=96
note_off channel=0 note=55 velocity=64 time=432
note_on channel=0 note=43 velocity=80 time=48
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=432
note_on channel=0 note=43 velocity=80 time=48
note_off channel=0 note=43 velocity=64 time=432
note_on channel=0 note=41 velocity=80 time=48
note_off channel=0 note=41 velocity=64 time=432
note_on channel=0 note=39 velocity=80 time=48
note_off channel=0 note=39 velocity=64 time=216
note_on channel=0 note=46 velocity=80 time=24
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=432
note_on channel=0 note=51 velocity=80 time=48
note_off channel=0 note=51 velocity=64 time=432
note_on channel=0 note=41 velocity=80 time=48
note_off channel=0 note=41 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=53 velocity=80 time=48
note_off channel=0 note=53 velocity=64 time=432
note_on channel=0 note=43 velocity=80 time=48
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=1104
note_on channel=0 note=43 velocity=80 time=96
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=1104
note_on channel=0 note=39 velocity=80 time=96
note_off channel=0 note=39 velocity=64 time=216
note_on channel=0 note=46 velocity=80 time=24
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=864
note_on channel=0 note=39 velocity=80 time=96
