<meta message track_name name='Piano' time=0>
<meta message instrument_name name='Microsoft GS ²¨±íÈí¼þºÏ³ÉÆ÷' time=0>
<meta message key_signature key='Eb' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
note_on channel=0 note=79 velocity=80 time=0
note_on channel=0 note=82 velocity=80 time=13
note_on channel=0 note=84 velocity=80 time=13
note_on channel=0 note=86 velocity=80 time=13
note_on channel=0 note=87 velocity=80 time=12
note_on channel=0 note=91 velocity=80 time=13
note_on channel=0 note=98 velocity=80 time=13
note_off channel=0 note=79 velocity=64 time=1651
note_off channel=0 note=82 velocity=64 time=13
note_off channel=0 note=84 velocity=64 time=13
note_off channel=0 note=86 velocity=64 time=13
note_off channel=0 note=87 velocity=64 time=12
note_off channel=0 note=91 velocity=64 time=13
note_off channel=0 note=98 velocity=64 time=13
note_on channel=0 note=70 velocity=80 time=25
note_on channel=0 note=77 velocity=80 time=18
note_on channel=0 note=82 velocity=80 time=18
note_on channel=0 note=84 velocity=80 time=18
note_on channel=0 note=91 velocity=80 time=18
note_off channel=0 note=70 velocity=64 time=1656
note_off channel=0 note=77 velocity=64 time=18
note_off channel=0 note=82 velocity=64 time=18
note_off channel=0 note=84 velocity=64 time=18
note_off channel=0 note=91 velocity=64 time=18
note_on channel=0 note=80 velocity=80 time=120
note_on channel=0 note=87 velocity=80 time=18
note_on channel=0 note=89 velocity=80 time=18
note_on channel=0 note=94 velocity=80 time=18
note_on channel=0 note=96 velocity=80 time=18
note_off channel=0 note=80 velocity=64 time=1656
note_off channel=0 note=87 velocity=64 time=18
note_off channel=0 note=89 velocity=64 time=18
note_off channel=0 note=94 velocity=64 time=18
note_off channel=0 note=96 velocity=64 time=18
note_on channel=0 note=56 velocity=80 time=210
note_on channel=0 note=60 velocity=80 time=0
note_on channel=0 note=63 velocity=80 time=0
note_off channel=0 note=56 velocity=64 time=864
note_off channel=0 note=60 velocity=64 time=0
note_off channel=0 note=63 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=576
note_on channel=0 note=62 velocity=80 time=0
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=864
note_off channel=0 note=62 velocity=64 time=0
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=55 velocity=80 time=576
note_on channel=0 note=56 velocity=80 time=0
note_on channel=0 note=60 velocity=80 time=0
note_off channel=0 note=55 velocity=64 time=1872
note_off channel=0 note=56 velocity=64 time=0
note_off channel=0 note=60 velocity=64 time=0
note_on channel=0 note=75 velocity=80 time=918
note_on channel=0 note=80 velocity=80 time=22
note_on channel=0 note=84 velocity=80 time=23
note_on channel=0 note=87 velocity=80 time=22
note_off channel=0 note=75 velocity=64 time=581
note_off channel=0 note=80 velocity=64 time=22
note_off channel=0 note=84 velocity=64 time=23
note_off channel=0 note=87 velocity=64 time=22
note_on channel=0 note=77 velocity=80 time=5
note_on channel=0 note=82 velocity=80 time=22
note_on channel=0 note=86 velocity=80 time=23
note_on channel=0 note=89 velocity=80 time=22
note_off channel=0 note=77 velocity=64 time=581
note_off channel=0 note=82 velocity=64 time=22
note_off channel=0 note=86 velocity=64 time=23
note_off channel=0 note=89 velocity=64 time=22
note_on channel=0 note=75 velocity=80 time=5
note_on channel=0 note=79 velocity=80 time=18
note_on channel=0 note=80 velocity=80 time=18
note_on channel=0 note=84 velocity=80 time=18
note_on channel=0 note=87 velocity=80 time=18
note_off channel=0 note=75 velocity=64 time=576
note_off channel=0 note=79 velocity=64 time=18
note_off channel=0 note=80 velocity=64 time=18
note_off channel=0 note=84 velocity=64 time=18
note_off channel=0 note=87 velocity=64 time=18
note_on channel=0 note=72 velocity=80 time=0
note_on channel=0 note=75 velocity=80 time=18
note_on channel=0 note=77 velocity=80 time=18
note_on channel=0 note=80 velocity=80 time=18
note_on channel=0 note=84 velocity=80 time=18
note_off channel=0 note=72 velocity=64 time=576
note_off channel=0 note=75 velocity=64 time=18
note_off channel=0 note=77 velocity=64 time=18
note_off channel=0 note=80 velocity=64 time=18
note_off channel=0 note=84 velocity=64 time=18
note_on channel=0 note=74 velocity=80 time=0
note_on channel=0 note=77 velocity=80 time=18
note_on channel=0 note=79 velocity=80 time=18
note_on channel=0 note=83 velocity=80 time=18
note_on channel=0 note=86 velocity=80 time=18
note_off channel=0 note=74 velocity=64 time=1224
note_off channel=0 note=77 velocity=64 time=18
note_off channel=0 note=79 velocity=64 time=18
note_off channel=0 note=83 velocity=64 time=18
note_off channel=0 note=86 velocity=64 time=18
note_on channel=0 note=55 velocity=80 time=162
note_on channel=0 note=59 velocity=80 time=0
note_on channel=0 note=62 velocity=80 time=0
note_on channel=0 note=65 velocity=80 time=0
note_on channel=0 note=67 velocity=80 time=0
note_off channel=0 note=55 velocity=64 time=1296
note_off channel=0 note=59 velocity=64 time=0
note_off channel=0 note=62 velocity=64 time=0
note_off channel=0 note=65 velocity=64 time=0
note_off channel=0 note=67 velocity=64 time=0
note_on channel=0 note=67 velocity=80 time=144
note_off channel=0 note=67 velocity=64 time=432
note_on channel=0 note=75 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=864
note_on channel=0 note=67 velocity=80 time=96
note_off channel=0 note=67 velocity=64 time=432
note_on channel=0 note=74 velocity=80 time=48
note_off channel=0 note=74 velocity=64 time=864
note_on channel=0 note=72 velocity=80 time=96
note_off channel=0 note=72 velocity=64 time=432
note_on channel=0 note=63 velocity=80 time=48
note_off channel=0 note=63 velocity=64 time=648
note_on channel=0 note=65 velocity=80 time=72
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=432
note_on channel=0 note=70 velocity=80 time=48
note_off channel=0 note=70 velocity=64 time=864
note_on channel=0 note=68 velocity=80 time=96
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=75 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=648
note_on channel=0 note=68 velocity=80 time=72
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=432
note_on channel=0 note=75 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=864
note_on channel=0 note=74 velocity=80 time=96
note_off channel=0 note=74 velocity=64 time=432
note_on channel=0 note=75 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=648
note_on channel=0 note=72 velocity=80 time=72
note_off channel=0 note=72 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_on channel=0 note=67 velocity=80 time=1350
note_on channel=0 note=71 velocity=80 time=22
note_on channel=0 note=74 velocity=80 time=23
note_on channel=0 note=79 velocity=80 time=22
note_off channel=0 note=74 velocity=64 time=23
note_off channel=0 note=67 velocity=64 time=1206
note_off channel=0 note=71 velocity=64 time=22
note_off channel=0 note=74 velocity=64 time=23
note_off channel=0 note=79 velocity=64 time=22
note_on channel=0 note=67 velocity=80 time=167
note_off channel=0 note=67 velocity=64 time=432
note_on channel=0 note=75 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=864
note_on channel=0 note=67 velocity=80 time=96
note_off channel=0 note=67 velocity=64 time=432
note_on channel=0 note=74 velocity=80 time=48
note_off channel=0 note=74 velocity=64 time=864
note_on channel=0 note=72 velocity=80 time=96
note_on channel=0 note=68 velocity=80 time=0
note_off channel=0 note=72 velocity=64 time=432
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=63 velocity=80 time=48
note_off channel=0 note=63 velocity=64 time=648
note_on channel=0 note=65 velocity=80 time=72
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_on channel=0 note=67 velocity=80 time=0
note_off channel=0 note=63 velocity=64 time=432
note_off channel=0 note=67 velocity=64 time=0
note_on channel=0 note=70 velocity=80 time=48
note_off channel=0 note=70 velocity=64 time=864
note_on channel=0 note=68 velocity=80 time=96
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=75 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=648
note_on channel=0 note=68 velocity=80 time=72
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=432
note_on channel=0 note=75 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=864
note_on channel=0 note=74 velocity=80 time=96
note_on channel=0 note=66 velocity=80 time=0
note_off channel=0 note=74 velocity=64 time=216
note_off channel=0 note=66 velocity=64 time=0
note_on channel=0 note=75 velocity=80 time=24
note_off channel=0 note=75 velocity=64 time=216
note_on channel=0 note=77 velocity=80 time=24
note_off channel=0 note=77 velocity=64 time=648
note_on channel=0 note=72 velocity=80 time=72
note_off channel=0 note=72 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_on channel=0 note=71 velocity=80 time=0
note_off channel=0 note=67 velocity=64 time=216
note_off channel=0 note=71 velocity=64 time=0
note_on channel=0 note=72 velocity=80 time=24
note_off channel=0 note=72 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=432
note_on channel=0 note=67 velocity=80 time=48
note_on channel=0 note=79 velocity=80 time=390
note_on channel=0 note=84 velocity=80 time=30
note_off channel=0 note=67 velocity=64 time=12
note_on channel=0 note=87 velocity=80 time=18
note_off channel=0 note=79 velocity=64 time=372
note_off channel=0 note=84 velocity=64 time=30
note_off channel=0 note=87 velocity=64 time=30
note_on channel=0 note=79 velocity=80 time=78
note_off channel=0 note=79 velocity=64 time=648
note_on channel=0 note=87 velocity=80 time=72
note_off channel=0 note=87 velocity=64 time=216
note_on channel=0 note=86 velocity=80 time=24
note_on channel=0 note=79 velocity=80 time=0
note_off channel=0 note=86 velocity=64 time=432
note_off channel=0 note=79 velocity=64 time=0
note_on channel=0 note=79 velocity=80 time=48
note_on channel=0 note=74 velocity=80 time=0
note_off channel=0 note=79 velocity=64 time=864
note_off channel=0 note=74 velocity=64 time=0
note_on channel=0 note=75 velocity=80 time=6
note_on channel=0 note=79 velocity=80 time=30
note_on channel=0 note=84 velocity=80 time=30
note_off channel=0 note=75 velocity=64 time=156
note_off channel=0 note=79 velocity=64 time=30
note_off channel=0 note=84 velocity=64 time=30
note_on channel=0 note=82 velocity=80 time=54
note_off channel=0 note=82 velocity=64 time=216
note_on channel=0 note=75 velocity=80 time=24
note_off channel=0 note=75 velocity=64 time=648
note_on channel=0 note=77 velocity=80 time=72
note_on channel=0 note=70 velocity=80 time=150
note_on channel=0 note=75 velocity=80 time=30
note_on channel=0 note=79 velocity=80 time=30
note_off channel=0 note=77 velocity=64 time=6
note_off channel=0 note=70 velocity=64 time=366
note_off channel=0 note=75 velocity=64 time=30
note_off channel=0 note=79 velocity=64 time=30
note_on channel=0 note=82 velocity=80 time=78
note_on channel=0 note=77 velocity=80 time=0
note_off channel=0 note=82 velocity=64 time=864
note_off channel=0 note=77 velocity=64 time=0
note_on channel=0 note=80 velocity=80 time=96
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=79 velocity=80 time=24
note_off channel=0 note=79 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=82 velocity=80 time=24
note_off channel=0 note=82 velocity=64 time=216
note_on channel=0 note=84 velocity=80 time=24
note_off channel=0 note=84 velocity=64 time=216
note_on channel=0 note=86 velocity=80 time=24
note_off channel=0 note=86 velocity=64 time=216
note_on channel=0 note=87 velocity=80 time=24
note_off channel=0 note=87 velocity=64 time=216
note_on channel=0 note=86 velocity=80 time=24
note_off channel=0 note=86 velocity=64 time=216
note_on channel=0 note=87 velocity=80 time=24
note_off channel=0 note=87 velocity=64 time=216
note_on channel=0 note=84 velocity=80 time=24
note_off channel=0 note=84 velocity=64 time=216
note_on channel=0 note=79 velocity=80 time=24
note_off channel=0 note=79 velocity=64 time=216
note_on channel=0 note=87 velocity=80 time=24
note_off channel=0 note=87 velocity=64 time=216
note_on channel=0 note=86 velocity=80 time=24
note_on channel=0 note=78 velocity=80 time=0
note_off channel=0 note=86 velocity=64 time=216
note_off channel=0 note=78 velocity=64 time=0
note_on channel=0 note=87 velocity=80 time=24
note_off channel=0 note=87 velocity=64 time=216
note_on channel=0 note=89 velocity=80 time=24
note_off channel=0 note=89 velocity=64 time=216
note_on channel=0 note=87 velocity=80 time=24
note_off channel=0 note=87 velocity=64 time=216
note_on channel=0 note=84 velocity=80 time=24
note_off channel=0 note=84 velocity=64 time=216
note_on channel=0 note=87 velocity=80 time=24
note_on channel=0 note=79 velocity=80 time=150
note_on channel=0 note=86 velocity=80 time=45
note_off channel=0 note=87 velocity=64 time=21
note_off channel=0 note=79 velocity=64 time=1230
note_off channel=0 note=86 velocity=64 time=45
note_on channel=0 note=79 velocity=80 time=99
note_on channel=0 note=83 velocity=80 time=22
note_on channel=0 note=86 velocity=80 time=23
note_on channel=0 note=91 velocity=80 time=22
note_off channel=0 note=79 velocity=64 time=1229
note_off channel=0 note=83 velocity=64 time=22
note_off channel=0 note=86 velocity=64 time=23
note_off channel=0 note=91 velocity=64 time=22
note_on channel=0 note=79 velocity=80 time=167
note_off channel=0 note=79 velocity=64 time=108
note_on channel=0 note=75 velocity=80 time=12
note_off channel=0 note=75 velocity=64 time=108
note_on channel=0 note=74 velocity=80 time=12
note_off channel=0 note=74 velocity=64 time=108
note_on channel=0 note=72 velocity=80 time=12
note_off channel=0 note=72 velocity=64 time=108
note_on channel=0 note=79 velocity=80 time=12
note_off channel=0 note=79 velocity=64 time=108
note_on channel=0 note=75 velocity=80 time=12
