<meta message track_name name='Sound 2' time=0>
<meta message instrument_name name='None' time=0>
<meta message key_signature key='A' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=64 value=64 time=0
note_on channel=0 note=54 velocity=80 time=90
note_off channel=0 note=54 velocity=64 time=1206
note_on channel=0 note=61 velocity=80 time=144
note_on channel=0 note=57 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=1296
note_off channel=0 note=57 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=144
note_on channel=0 note=52 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=1296
note_off channel=0 note=52 velocity=64 time=0
note_on channel=0 note=52 velocity=80 time=144
note_on channel=0 note=56 velocity=80 time=0
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=96
note_off channel=0 note=59 velocity=64 time=120
note_on channel=0 note=42 velocity=80 time=24
note_on channel=0 note=54 velocity=80 time=0
note_off channel=0 note=42 velocity=64 time=648
note_off channel=0 note=54 velocity=64 time=0
note_on channel=0 note=49 velocity=80 time=72
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=432
note_on channel=0 note=38 velocity=80 time=48
note_off channel=0 note=38 velocity=64 time=432
note_on channel=0 note=45 velocity=80 time=48
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=45 velocity=80 time=24
note_off channel=0 note=45 velocity=64 time=432
note_on channel=0 note=52 velocity=80 time=48
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=432
note_on channel=0 note=40 velocity=80 time=48
note_off channel=0 note=40 velocity=64 time=432
note_on channel=0 note=47 velocity=80 time=48
note_off channel=0 note=47 velocity=64 time=216
note_on channel=0 note=52 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=42 velocity=80 time=24
note_off channel=0 note=42 velocity=64 time=432
note_on channel=0 note=49 velocity=80 time=48
note_off channel=0 note=49 velocity=64 time=432
note_on channel=0 note=54 velocity=80 time=48
note_off channel=0 note=54 velocity=64 time=432
note_on channel=0 note=38 velocity=80 time=48
note_off channel=0 note=38 velocity=64 time=432
note_on channel=0 note=45 velocity=80 time=48
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=432
note_on channel=0 note=40 velocity=80 time=48
note_off channel=0 note=40 velocity=64 time=432
note_on channel=0 note=47 velocity=80 time=48
note_off channel=0 note=47 velocity=64 time=216
note_on channel=0 note=52 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=432
note_on channel=0 note=45 velocity=80 time=48
note_off channel=0 note=45 velocity=64 time=432
note_on channel=0 note=52 velocity=80 time=48
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=44 velocity=80 time=24
note_off channel=0 note=44 velocity=64 time=432
note_on channel=0 note=42 velocity=80 time=48
note_off channel=0 note=42 velocity=64 time=432
note_on channel=0 note=49 velocity=80 time=48
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=432
note_on channel=0 note=38 velocity=80 time=48
note_off channel=0 note=38 velocity=64 time=432
note_on channel=0 note=45 velocity=80 time=48
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=432
note_on channel=0 note=40 velocity=80 time=48
note_off channel=0 note=40 velocity=64 time=432
note_on channel=0 note=47 velocity=80 time=48
note_off channel=0 note=47 velocity=64 time=216
note_on channel=0 note=52 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=1296
note_on channel=0 note=54 velocity=80 time=144
note_off channel=0 note=54 velocity=64 time=1296
note_on channel=0 note=50 velocity=80 time=144
note_off channel=0 note=50 velocity=64 time=1296
note_on channel=0 note=45 velocity=80 time=144
note_off channel=0 note=45 velocity=64 time=1296
note_on channel=0 note=52 velocity=80 time=144
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=42 velocity=80 time=24
note_off channel=0 note=42 velocity=64 time=648
note_on channel=0 note=49 velocity=80 time=72
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=432
note_on channel=0 note=38 velocity=80 time=48
note_off channel=0 note=38 velocity=64 time=432
note_on channel=0 note=45 velocity=80 time=48
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=52 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=40 velocity=80 time=24
note_off channel=0 note=40 velocity=64 time=432
note_on channel=0 note=47 velocity=80 time=48
note_off channel=0 note=47 velocity=64 time=216
note_on channel=0 note=52 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=45 velocity=80 time=24
note_off channel=0 note=45 velocity=64 time=648
note_on channel=0 note=44 velocity=80 time=72
note_off channel=0 note=44 velocity=64 time=648
note_on channel=0 note=42 velocity=80 time=72
note_off channel=0 note=42 velocity=64 time=648
note_on channel=0 note=49 velocity=80 time=72
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=432
note_on channel=0 note=38 velocity=80 time=48
note_off channel=0 note=38 velocity=64 time=432
note_on channel=0 note=45 velocity=80 time=48
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=480
note_on channel=0 note=52 velocity=80 time=0
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=40 velocity=80 time=24
note_off channel=0 note=40 velocity=64 time=432
note_on channel=0 note=47 velocity=80 time=48
note_off channel=0 note=47 velocity=64 time=216
note_on channel=0 note=52 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_on channel=0 note=57 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=216
note_off channel=0 note=57 velocity=64 time=0
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=40 velocity=80 time=24
note_off channel=0 note=40 velocity=64 time=432
note_on channel=0 note=52 velocity=80 time=48
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=432
note_on channel=0 note=42 velocity=80 time=48
note_on channel=0 note=54 velocity=80 time=0
note_off channel=0 note=42 velocity=64 time=432
note_off channel=0 note=54 velocity=64 time=0
