<meta message track_name name='Sound 2' time=0>
<meta message instrument_name name='None' time=0>
<meta message key_signature key='A' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
note_on channel=0 note=38 velocity=90 time=0
note_off channel=0 note=38 velocity=64 time=216
note_on channel=0 note=54 velocity=90 time=24
note_off channel=0 note=54 velocity=64 time=108
note_on channel=0 note=59 velocity=90 time=12
note_off channel=0 note=59 velocity=64 time=600
note_on channel=0 note=38 velocity=90 time=0
note_off channel=0 note=38 velocity=64 time=216
note_on channel=0 note=54 velocity=90 time=24
note_off channel=0 note=54 velocity=64 time=108
note_on channel=0 note=59 velocity=90 time=12
note_off channel=0 note=59 velocity=64 time=600
note_on channel=0 note=40 velocity=90 time=0
note_off channel=0 note=40 velocity=64 time=216
note_on channel=0 note=59 velocity=90 time=24
note_off channel=0 note=59 velocity=64 time=108
note_on channel=0 note=61 velocity=90 time=12
note_off channel=0 note=61 velocity=64 time=600
note_on channel=0 note=40 velocity=90 time=0
note_off channel=0 note=40 velocity=64 time=216
note_on channel=0 note=59 velocity=90 time=24
note_off channel=0 note=59 velocity=64 time=108
note_on channel=0 note=61 velocity=90 time=12
note_off channel=0 note=61 velocity=64 time=600
note_on channel=0 note=42 velocity=90 time=0
note_on channel=0 note=49 velocity=90 time=720
note_off channel=0 note=42 velocity=64 time=146
note_off channel=0 note=49 velocity=64 time=71
note_on channel=0 note=42 velocity=90 time=23
note_on channel=0 note=49 velocity=90 time=720
note_off channel=0 note=42 velocity=64 time=146
note_off channel=0 note=49 velocity=64 time=71
note_on channel=0 note=42 velocity=90 time=23
note_on channel=0 note=49 velocity=90 time=720
note_off channel=0 note=42 velocity=64 time=146
note_off channel=0 note=49 velocity=64 time=71
note_on channel=0 note=42 velocity=90 time=23
note_on channel=0 note=49 velocity=90 time=720
note_off channel=0 note=42 velocity=64 time=146
note_off channel=0 note=49 velocity=64 time=71
note_on channel=0 note=38 velocity=90 time=23
note_off channel=0 note=38 velocity=64 time=216
note_on channel=0 note=54 velocity=90 time=24
note_off channel=0 note=54 velocity=64 time=108
note_on channel=0 note=59 velocity=90 time=12
note_off channel=0 note=59 velocity=64 time=600
note_on channel=0 note=38 velocity=90 time=0
note_off channel=0 note=38 velocity=64 time=216
note_on channel=0 note=54 velocity=90 time=24
note_off channel=0 note=54 velocity=64 time=108
note_on channel=0 note=59 velocity=90 time=12
note_off channel=0 note=59 velocity=64 time=600
note_on channel=0 note=40 velocity=90 time=0
note_off channel=0 note=40 velocity=64 time=216
note_on channel=0 note=59 velocity=90 time=24
note_off channel=0 note=59 velocity=64 time=108
note_on channel=0 note=61 velocity=90 time=12
note_off channel=0 note=61 velocity=64 time=600
note_on channel=0 note=40 velocity=90 time=0
note_off channel=0 note=40 velocity=64 time=216
note_on channel=0 note=59 velocity=90 time=24
note_off channel=0 note=59 velocity=64 time=108
note_on channel=0 note=61 velocity=90 time=12
note_off channel=0 note=61 velocity=64 time=600
note_on channel=0 note=42 velocity=90 time=0
note_on channel=0 note=49 velocity=90 time=720
note_off channel=0 note=42 velocity=64 time=146
note_off channel=0 note=49 velocity=64 time=71
note_on channel=0 note=42 velocity=90 time=23
note_on channel=0 note=49 velocity=90 time=720
note_off channel=0 note=42 velocity=64 time=146
note_off channel=0 note=49 velocity=64 time=71
note_on channel=0 note=42 velocity=90 time=23
note_on channel=0 note=54 velocity=90 time=480
note_on channel=0 note=49 velocity=90 time=0
note_off channel=0 note=54 velocity=64 time=1428
note_off channel=0 note=49 velocity=64 time=0
note_off channel=0 note=42 velocity=64 time=12
note_on channel=0 note=38 velocity=90 time=0
note_off channel=0 note=38 velocity=64 time=217
note_on channel=0 note=45 velocity=90 time=23
note_off channel=0 note=45 velocity=64 time=217
note_on channel=0 note=50 velocity=90 time=23
note_off channel=0 note=50 velocity=64 time=217
note_on channel=0 note=54 velocity=90 time=23
note_off channel=0 note=54 velocity=64 time=240
note_on channel=0 note=52 velocity=90 time=0
note_off channel=0 note=52 velocity=64 time=108
note_on channel=0 note=54 velocity=90 time=12
note_off channel=0 note=54 velocity=64 time=108
note_on channel=0 note=57 velocity=90 time=12
note_off channel=0 note=57 velocity=64 time=108
note_on channel=0 note=62 velocity=90 time=12
note_off channel=0 note=62 velocity=64 time=108
note_on channel=0 note=57 velocity=90 time=12
note_off channel=0 note=57 velocity=64 time=432
note_on channel=0 note=40 velocity=90 time=48
note_off channel=0 note=40 velocity=64 time=217
note_on channel=0 note=47 velocity=90 time=23
note_off channel=0 note=47 velocity=64 time=217
note_on channel=0 note=52 velocity=90 time=23
note_off channel=0 note=52 velocity=64 time=217
note_on channel=0 note=56 velocity=90 time=23
note_off channel=0 note=56 velocity=64 time=240
note_on channel=0 note=54 velocity=90 time=0
note_off channel=0 note=54 velocity=64 time=108
note_on channel=0 note=56 velocity=90 time=12
note_off channel=0 note=56 velocity=64 time=108
note_on channel=0 note=59 velocity=90 time=12
note_off channel=0 note=59 velocity=64 time=108
note_on channel=0 note=64 velocity=90 time=12
note_off channel=0 note=64 velocity=64 time=108
note_on channel=0 note=59 velocity=90 time=12
note_off channel=0 note=59 velocity=64 time=432
note_on channel=0 note=42 velocity=80 time=48
note_off channel=0 note=42 velocity=64 time=216
note_on channel=0 note=49 velocity=80 time=24
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=42 velocity=80 time=24
note_off channel=0 note=42 velocity=64 time=216
note_on channel=0 note=49 velocity=80 time=24
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=52 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=38 velocity=90 time=24
note_off channel=0 note=38 velocity=64 time=217
note_on channel=0 note=45 velocity=90 time=23
note_off channel=0 note=45 velocity=64 time=217
note_on channel=0 note=50 velocity=90 time=23
note_off channel=0 note=50 velocity=64 time=217
note_on channel=0 note=52 velocity=90 time=23
note_off channel=0 note=52 velocity=64 time=240
note_on channel=0 note=54 velocity=90 time=0
note_off channel=0 note=54 velocity=64 time=217
note_on channel=0 note=57 velocity=90 time=23
note_off channel=0 note=57 velocity=64 time=217
note_on channel=0 note=62 velocity=90 time=23
note_off channel=0 note=62 velocity=64 time=217
note_on channel=0 note=56 velocity=80 time=23
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=40 velocity=90 time=24
note_off channel=0 note=40 velocity=64 time=217
note_on channel=0 note=47 velocity=90 time=23
note_off channel=0 note=47 velocity=64 time=217
note_on channel=0 note=52 velocity=90 time=23
note_off channel=0 note=52 velocity=64 time=217
note_on channel=0 note=54 velocity=90 time=23
note_off channel=0 note=54 velocity=64 time=240
note_on channel=0 note=56 velocity=90 time=0
note_off channel=0 note=56 velocity=64 time=217
note_on channel=0 note=59 velocity=90 time=23
note_off channel=0 note=59 velocity=64 time=217
note_on channel=0 note=64 velocity=90 time=23
note_off channel=0 note=64 velocity=64 time=217
note_on channel=0 note=68 velocity=90 time=23
note_off channel=0 note=68 velocity=64 time=217
note_on channel=0 note=42 velocity=90 time=23
note_off channel=0 note=42 velocity=64 time=217
note_on channel=0 note=49 velocity=90 time=23
note_off channel=0 note=49 velocity=64 time=217
note_on channel=0 note=54 velocity=90 time=23
note_off channel=0 note=54 velocity=64 time=217
note_on channel=0 note=56 velocity=90 time=23
note_off channel=0 note=56 velocity=64 time=240
note_on channel=0 note=57 velocity=90 time=0
note_off channel=0 note=57 velocity=64 time=217
note_on channel=0 note=61 velocity=90 time=23
note_off channel=0 note=61 velocity=64 time=217
note_on channel=0 note=66 velocity=90 time=23
note_off channel=0 note=66 velocity=64 time=217
note_on channel=0 note=69 velocity=90 time=23
note_off channel=0 note=69 velocity=64 time=217
note_on channel=0 note=42 velocity=90 time=23
note_off channel=0 note=42 velocity=64 time=866
note_on channel=0 note=61 velocity=80 time=574
note_off channel=0 note=61 velocity=64 time=108
note_on channel=0 note=59 velocity=80 time=12
note_off channel=0 note=59 velocity=64 time=108
note_on channel=0 note=57 velocity=80 time=12
note_off channel=0 note=57 velocity=64 time=108
note_on channel=0 note=56 velocity=80 time=12
note_off channel=0 note=56 velocity=64 time=108
note_on channel=0 note=38 velocity=90 time=12
note_off channel=0 note=38 velocity=64 time=217
note_on channel=0 note=45 velocity=90 time=23
