<meta message track_name name='Sound 2' time=0>
<meta message instrument_name name='Microsoft GS ²¨±íÈí¼þºÏ³ÉÆ÷' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=7 value=70 time=0
note_on channel=0 note=72 velocity=80 time=1440
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=72 velocity=64 time=648
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=74 velocity=80 time=72
note_on channel=0 note=71 velocity=80 time=0
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=74 velocity=64 time=648
note_off channel=0 note=71 velocity=64 time=0
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=62 velocity=80 time=72
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=72 velocity=80 time=24
note_on channel=0 note=76 velocity=81 time=161
note_on channel=0 note=77 velocity=81 time=26
note_on channel=0 note=84 velocity=81 time=27
note_off channel=0 note=72 velocity=64 time=2
note_off channel=0 note=76 velocity=64 time=593
note_off channel=0 note=77 velocity=64 time=26
note_off channel=0 note=84 velocity=64 time=27
note_on channel=0 note=60 velocity=80 time=1538
note_on channel=0 note=57 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=60 velocity=64 time=648
note_off channel=0 note=57 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=62 velocity=80 time=72
note_on channel=0 note=59 velocity=80 time=0
note_on channel=0 note=52 velocity=80 time=0
note_off channel=0 note=62 velocity=64 time=648
note_off channel=0 note=59 velocity=64 time=0
note_off channel=0 note=52 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=72
note_on channel=0 note=53 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=648
note_off channel=0 note=53 velocity=64 time=0
note_on channel=0 note=67 velocity=80 time=72
note_on channel=0 note=69 velocity=80 time=0
note_on channel=0 note=76 velocity=80 time=0
note_off channel=0 note=67 velocity=64 time=2088
note_off channel=0 note=69 velocity=64 time=0
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=65 velocity=80 time=72
note_off channel=0 note=65 velocity=64 time=648
note_on channel=0 note=64 velocity=80 time=72
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=24
note_off channel=0 note=71 velocity=64 time=432
note_on channel=0 note=62 velocity=80 time=48
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=60 velocity=80 time=48
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=67 velocity=80 time=48
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
