<meta message track_name name='Piano' time=0>
<meta message instrument_name name='Galaxy Steinway 5.1 1' time=0>
<meta message key_signature key='Eb' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
note_on channel=0 note=79 velocity=80 time=0
note_off channel=0 note=79 velocity=64 time=432
note_on channel=0 note=79 velocity=80 time=48
note_off channel=0 note=79 velocity=64 time=432
note_on channel=0 note=77 velocity=80 time=48
note_off channel=0 note=77 velocity=64 time=216
note_on channel=0 note=79 velocity=80 time=24
note_off channel=0 note=79 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=432
note_on channel=0 note=79 velocity=80 time=48
note_off channel=0 note=79 velocity=64 time=432
note_on channel=0 note=79 velocity=80 time=48
note_off channel=0 note=79 velocity=64 time=864
note_on channel=0 note=77 velocity=80 time=96
note_off channel=0 note=77 velocity=64 time=216
note_on channel=0 note=75 velocity=80 time=24
note_off channel=0 note=75 velocity=64 time=216
note_on channel=0 note=84 velocity=80 time=24
note_off channel=0 note=84 velocity=64 time=432
note_on channel=0 note=84 velocity=80 time=48
note_on channel=0 note=75 velocity=80 time=0
note_off channel=0 note=84 velocity=64 time=216
note_off channel=0 note=75 velocity=64 time=0
note_on channel=0 note=82 velocity=80 time=24
note_off channel=0 note=82 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=432
note_on channel=0 note=75 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=432
note_on channel=0 note=79 velocity=80 time=48
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=79 velocity=64 time=1296
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=79 velocity=80 time=144
note_off channel=0 note=79 velocity=64 time=432
note_on channel=0 note=77 velocity=80 time=48
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=77 velocity=64 time=432
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=79 velocity=80 time=48
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=79 velocity=64 time=432
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=77 velocity=80 time=48
note_off channel=0 note=77 velocity=64 time=432
note_on channel=0 note=77 velocity=80 time=48
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=77 velocity=64 time=216
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=75 velocity=80 time=24
note_off channel=0 note=75 velocity=64 time=216
note_on channel=0 note=75 velocity=80 time=24
note_on channel=0 note=72 velocity=80 time=0
note_off channel=0 note=75 velocity=64 time=432
note_off channel=0 note=72 velocity=64 time=0
note_on channel=0 note=75 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=75 velocity=80 time=24
note_off channel=0 note=75 velocity=64 time=432
note_on channel=0 note=75 velocity=80 time=48
note_on channel=0 note=72 velocity=80 time=0
note_off channel=0 note=75 velocity=64 time=216
note_off channel=0 note=72 velocity=64 time=0
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=72 velocity=80 time=24
note_off channel=0 note=72 velocity=64 time=432
note_on channel=0 note=75 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=648
note_on channel=0 note=70 velocity=80 time=72
note_off channel=0 note=70 velocity=64 time=216
note_on channel=0 note=75 velocity=80 time=24
note_off channel=0 note=75 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=75 velocity=80 time=24
note_off channel=0 note=75 velocity=64 time=432
note_on channel=0 note=77 velocity=80 time=48
note_off channel=0 note=77 velocity=64 time=432
note_on channel=0 note=79 velocity=80 time=48
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=79 velocity=64 time=432
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=77 velocity=80 time=48
note_off channel=0 note=77 velocity=64 time=432
note_on channel=0 note=79 velocity=80 time=48
note_off channel=0 note=79 velocity=64 time=432
note_on channel=0 note=79 velocity=80 time=48
note_off channel=0 note=79 velocity=64 time=432
note_on channel=0 note=77 velocity=80 time=48
note_off channel=0 note=77 velocity=64 time=216
note_on channel=0 note=79 velocity=80 time=24
note_off channel=0 note=79 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=432
note_on channel=0 note=79 velocity=80 time=48
note_off channel=0 note=79 velocity=64 time=432
note_on channel=0 note=79 velocity=80 time=48
note_off channel=0 note=79 velocity=64 time=864
note_on channel=0 note=77 velocity=80 time=96
note_off channel=0 note=77 velocity=64 time=216
note_on channel=0 note=75 velocity=80 time=24
note_off channel=0 note=75 velocity=64 time=216
note_on channel=0 note=84 velocity=80 time=24
note_on channel=0 note=75 velocity=80 time=0
note_off channel=0 note=84 velocity=64 time=432
note_off channel=0 note=75 velocity=64 time=0
note_on channel=0 note=84 velocity=80 time=48
note_on channel=0 note=75 velocity=80 time=0
note_off channel=0 note=84 velocity=64 time=216
note_off channel=0 note=75 velocity=64 time=0
note_on channel=0 note=82 velocity=80 time=24
note_off channel=0 note=82 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=432
note_on channel=0 note=75 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=432
note_on channel=0 note=79 velocity=80 time=48
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=79 velocity=64 time=1296
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=79 velocity=80 time=144
note_off channel=0 note=79 velocity=64 time=432
note_on channel=0 note=77 velocity=80 time=48
note_on channel=0 note=74 velocity=80 time=0
note_off channel=0 note=77 velocity=64 time=216
note_off channel=0 note=74 velocity=64 time=0
note_on channel=0 note=79 velocity=80 time=24
note_off channel=0 note=79 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=864
note_on channel=0 note=79 velocity=80 time=96
note_off channel=0 note=79 velocity=64 time=216
note_on channel=0 note=77 velocity=80 time=24
note_off channel=0 note=77 velocity=64 time=216
note_on channel=0 note=77 velocity=80 time=24
note_on channel=0 note=72 velocity=80 time=0
note_off channel=0 note=77 velocity=64 time=432
note_off channel=0 note=72 velocity=64 time=0
note_on channel=0 note=75 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
