<meta message track_name name='Piano' time=0>
<meta message instrument_name name='Microsoft GS ²¨±íÈí¼þºÏ³ÉÆ÷' time=0>
<meta message key_signature key='Bb' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=456
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=456
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=456
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=432
note_on channel=0 note=58 velocity=80 time=48
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=264
note_off channel=0 note=58 velocity=64 time=432
note_on channel=0 note=58 velocity=80 time=48
note_off channel=0 note=58 velocity=64 time=432
note_on channel=0 note=58 velocity=80 time=48
note_off channel=0 note=58 velocity=64 time=432
note_on channel=0 note=58 velocity=80 time=48
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=264
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=62 velocity=80 time=48
note_off channel=0 note=62 velocity=64 time=432
note_on channel=0 note=63 velocity=80 time=48
note_off channel=0 note=63 velocity=64 time=432
note_on channel=0 note=67 velocity=80 time=48
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=77 velocity=80 time=24
note_off channel=0 note=77 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=216
note_on channel=0 note=77 velocity=80 time=24
note_off channel=0 note=77 velocity=64 time=456
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=216
note_on channel=0 note=77 velocity=80 time=24
note_off channel=0 note=77 velocity=64 time=456
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=216
note_on channel=0 note=77 velocity=80 time=24
note_off channel=0 note=77 velocity=64 time=456
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=75 velocity=80 time=24
note_off channel=0 note=75 velocity=64 time=216
note_on channel=0 note=77 velocity=80 time=264
note_off channel=0 note=77 velocity=64 time=864
note_on channel=0 note=58 velocity=80 time=96
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=1224
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=432
note_on channel=0 note=58 velocity=80 time=288
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=24
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=24
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=24
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=264
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=24
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=24
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=24
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=264
note_off channel=0 note=62 velocity=64 time=864
note_on channel=0 note=62 velocity=80 time=96
note_off channel=0 note=62 velocity=64 time=432
note_on channel=0 note=57 velocity=80 time=48
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=984
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=432
note_on channel=0 note=55 velocity=80 time=48
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=264
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=55 velocity=64 time=216
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=55 velocity=80 time=24
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=55 velocity=64 time=216
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=55 velocity=80 time=24
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=55 velocity=64 time=216
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=55 velocity=80 time=24
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=55 velocity=64 time=216
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=264
note_on channel=0 note=60 velocity=80 time=0
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=60 velocity=64 time=0
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=24
note_on channel=0 note=60 velocity=80 time=0
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=60 velocity=64 time=0
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=24
note_on channel=0 note=60 velocity=80 time=0
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=60 velocity=64 time=0
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=24
note_on channel=0 note=60 velocity=80 time=0
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=60 velocity=64 time=0
note_off channel=0 note=65 velocity=64 time=0
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=264
note_off channel=0 note=65 velocity=64 time=648
note_on channel=0 note=58 velocity=80 time=72
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=984
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=1224
