<meta message track_name name='Piano' time=0>
<meta message instrument_name name='Microsoft GS ²¨±íÈí¼þºÏ³ÉÆ÷' time=0>
<meta message key_signature key='Db' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=70 velocity=64 time=432
note_on channel=0 note=77 velocity=80 time=48
note_on channel=0 note=73 velocity=80 time=0
note_off channel=0 note=77 velocity=64 time=432
note_off channel=0 note=73 velocity=64 time=0
note_on channel=0 note=75 velocity=80 time=48
note_on channel=0 note=72 velocity=80 time=0
note_off channel=0 note=75 velocity=64 time=432
note_off channel=0 note=72 velocity=64 time=0
note_on channel=0 note=80 velocity=80 time=48
note_on channel=0 note=75 velocity=80 time=0
note_on channel=0 note=72 velocity=80 time=0
note_off channel=0 note=80 velocity=64 time=432
note_off channel=0 note=75 velocity=64 time=0
note_off channel=0 note=72 velocity=64 time=0
note_on channel=0 note=77 velocity=80 time=48
note_on channel=0 note=73 velocity=80 time=0
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=77 velocity=64 time=432
note_off channel=0 note=73 velocity=64 time=0
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=70 velocity=80 time=48
note_off channel=0 note=70 velocity=64 time=216
note_on channel=0 note=75 velocity=80 time=24
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=70 velocity=64 time=432
note_on channel=0 note=70 velocity=80 time=48
note_off channel=0 note=75 velocity=64 time=216
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=73 velocity=80 time=24
note_off channel=0 note=73 velocity=64 time=108
note_on channel=0 note=72 velocity=80 time=12
note_off channel=0 note=72 velocity=64 time=108
note_on channel=0 note=75 velocity=80 time=12
note_off channel=0 note=75 velocity=64 time=216
note_on channel=0 note=77 velocity=80 time=24
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=77 velocity=64 time=432
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=77 velocity=80 time=48
note_on channel=0 note=73 velocity=80 time=0
note_on channel=0 note=78 velocity=80 time=372
note_off channel=0 note=78 velocity=64 time=54
note_on channel=0 note=77 velocity=80 time=0
note_off channel=0 note=77 velocity=64 time=6
note_off channel=0 note=73 velocity=64 time=0
note_off channel=0 note=77 velocity=64 time=48
note_on channel=0 note=75 velocity=80 time=0
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=75 velocity=64 time=432
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=80 velocity=80 time=48
note_on channel=0 note=75 velocity=80 time=0
note_on channel=0 note=72 velocity=80 time=0
note_off channel=0 note=80 velocity=64 time=324
note_off channel=0 note=75 velocity=64 time=0
note_off channel=0 note=72 velocity=64 time=0
note_on channel=0 note=82 velocity=80 time=36
note_on channel=0 note=77 velocity=80 time=0
note_on channel=0 note=73 velocity=80 time=0
note_on channel=0 note=90 velocity=80 time=972
note_off channel=0 note=82 velocity=64 time=12
note_off channel=0 note=77 velocity=64 time=0
note_off channel=0 note=73 velocity=64 time=0
note_off channel=0 note=90 velocity=64 time=15
note_on channel=0 note=89 velocity=80 time=0
note_off channel=0 note=89 velocity=64 time=27
note_on channel=0 note=85 velocity=80 time=0
note_off channel=0 note=85 velocity=64 time=27
note_on channel=0 note=80 velocity=80 time=27
note_on channel=0 note=90 velocity=80 time=399
note_off channel=0 note=90 velocity=64 time=27
note_on channel=0 note=89 velocity=80 time=0
note_off channel=0 note=80 velocity=64 time=6
note_off channel=0 note=89 velocity=64 time=21
note_on channel=0 note=85 velocity=80 time=0
note_off channel=0 note=85 velocity=64 time=27
note_on channel=0 note=80 velocity=80 time=0
note_on channel=0 note=90 velocity=80 time=399
note_off channel=0 note=90 velocity=64 time=27
note_on channel=0 note=89 velocity=80 time=0
note_off channel=0 note=80 velocity=64 time=6
note_off channel=0 note=89 velocity=64 time=21
note_on channel=0 note=85 velocity=80 time=0
note_off channel=0 note=85 velocity=64 time=27
note_on channel=0 note=80 velocity=80 time=0
note_off channel=0 note=80 velocity=64 time=1800
note_on channel=0 note=73 velocity=80 time=0
note_off channel=0 note=73 velocity=64 time=108
note_on channel=0 note=72 velocity=80 time=12
note_off channel=0 note=72 velocity=64 time=1728
note_on channel=0 note=61 velocity=80 time=192
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=432
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=77 velocity=80 time=48
note_on channel=0 note=73 velocity=80 time=0
