<meta message track_name name='Sound 1' time=0>
<meta message instrument_name name='Microsoft GS ²¨±íÈí¼þºÏ³ÉÆ÷' time=0>
<meta message key_signature key='Eb' time=0>
program_change channel=2 program=71 time=0
control_change channel=2 control=10 value=64 time=0
note_on channel=2 note=67 velocity=80 time=54720
note_off channel=2 note=67 velocity=64 time=432
note_on channel=2 note=75 velocity=80 time=48
note_off channel=2 note=75 velocity=64 time=864
note_on channel=2 note=67 velocity=80 time=96
note_off channel=2 note=67 velocity=64 time=432
note_on channel=2 note=74 velocity=80 time=48
note_off channel=2 note=74 velocity=64 time=864
note_on channel=2 note=72 velocity=80 time=96
note_off channel=2 note=72 velocity=64 time=432
note_on channel=2 note=63 velocity=80 time=48
note_off channel=2 note=63 velocity=64 time=648
note_on channel=2 note=65 velocity=80 time=72
note_off channel=2 note=65 velocity=64 time=216
note_on channel=2 note=67 velocity=80 time=24
note_off channel=2 note=67 velocity=64 time=432
note_on channel=2 note=70 velocity=80 time=48
note_off channel=2 note=70 velocity=64 time=864
note_on channel=2 note=68 velocity=80 time=96
note_off channel=2 note=68 velocity=64 time=432
note_on channel=2 note=75 velocity=80 time=48
note_off channel=2 note=75 velocity=64 time=648
note_on channel=2 note=68 velocity=80 time=72
note_off channel=2 note=68 velocity=64 time=216
note_on channel=2 note=67 velocity=80 time=24
note_off channel=2 note=67 velocity=64 time=432
note_on channel=2 note=75 velocity=80 time=48
note_off channel=2 note=75 velocity=64 time=864
note_on channel=2 note=74 velocity=80 time=96
note_off channel=2 note=74 velocity=64 time=216
note_on channel=2 note=75 velocity=80 time=24
note_off channel=2 note=75 velocity=64 time=216
note_on channel=2 note=77 velocity=80 time=24
note_off channel=2 note=77 velocity=64 time=648
note_on channel=2 note=72 velocity=80 time=72
note_off channel=2 note=72 velocity=64 time=216
note_on channel=2 note=71 velocity=80 time=24
note_off channel=2 note=71 velocity=64 time=216
note_on channel=2 note=72 velocity=80 time=24
note_off channel=2 note=72 velocity=64 time=216
note_on channel=2 note=74 velocity=80 time=24
note_off channel=2 note=74 velocity=64 time=864
note_on channel=2 note=75 velocity=80 time=96
note_off channel=2 note=75 velocity=64 time=432
note_on channel=2 note=67 velocity=80 time=48
note_off channel=2 note=67 velocity=64 time=648
note_on channel=2 note=75 velocity=80 time=72
note_off channel=2 note=75 velocity=64 time=216
note_on channel=2 note=74 velocity=80 time=24
note_off channel=2 note=74 velocity=64 time=432
note_on channel=2 note=67 velocity=80 time=48
note_off channel=2 note=67 velocity=64 time=864
note_on channel=2 note=72 velocity=80 time=96
note_off channel=2 note=72 velocity=64 time=216
note_on channel=2 note=70 velocity=80 time=24
note_off channel=2 note=70 velocity=64 time=216
note_on channel=2 note=72 velocity=80 time=24
note_off channel=2 note=72 velocity=64 time=648
note_on channel=2 note=75 velocity=80 time=72
note_off channel=2 note=75 velocity=64 time=216
note_on channel=2 note=70 velocity=80 time=24
note_off channel=2 note=70 velocity=64 time=216
note_on channel=2 note=72 velocity=80 time=24
note_off channel=2 note=72 velocity=64 time=216
note_on channel=2 note=70 velocity=80 time=24
note_off channel=2 note=70 velocity=64 time=864
note_on channel=2 note=68 velocity=80 time=96
note_off channel=2 note=68 velocity=64 time=432
note_on channel=2 note=75 velocity=80 time=48
note_off channel=2 note=75 velocity=64 time=864
note_on channel=2 note=67 velocity=80 time=96
note_off channel=2 note=67 velocity=64 time=432
note_on channel=2 note=75 velocity=80 time=48
note_off channel=2 note=75 velocity=64 time=864
note_on channel=2 note=74 velocity=80 time=96
note_off channel=2 note=74 velocity=64 time=216
note_on channel=2 note=75 velocity=80 time=24
note_off channel=2 note=75 velocity=64 time=216
note_on channel=2 note=77 velocity=80 time=24
note_off channel=2 note=77 velocity=64 time=648
note_on channel=2 note=72 velocity=80 time=72
note_off channel=2 note=72 velocity=64 time=216
note_on channel=2 note=71 velocity=80 time=24
note_off channel=2 note=71 velocity=64 time=216
note_on channel=2 note=72 velocity=80 time=24
note_off channel=2 note=72 velocity=64 time=216
note_on channel=2 note=74 velocity=80 time=24
note_off channel=2 note=74 velocity=64 time=432
note_on channel=2 note=71 velocity=80 time=48
note_off channel=2 note=71 velocity=64 time=432
note_on channel=2 note=72 velocity=80 time=48
note_off channel=2 note=72 velocity=64 time=1296
note_on channel=2 note=67 velocity=80 time=96624
note_off channel=2 note=67 velocity=64 time=432
note_on channel=2 note=75 velocity=80 time=48
note_off channel=2 note=75 velocity=64 time=864
note_on channel=2 note=67 velocity=80 time=96
note_off channel=2 note=67 velocity=64 time=432
note_on channel=2 note=74 velocity=80 time=48
note_off channel=2 note=74 velocity=64 time=864
note_on channel=2 note=72 velocity=80 time=96
note_off channel=2 note=72 velocity=64 time=432
note_on channel=2 note=63 velocity=80 time=48
note_off channel=2 note=63 velocity=64 time=648
note_on channel=2 note=65 velocity=80 time=72
note_off channel=2 note=65 velocity=64 time=216
note_on channel=2 note=67 velocity=80 time=24
note_off channel=2 note=67 velocity=64 time=432
note_on channel=2 note=70 velocity=80 time=48
note_off channel=2 note=70 velocity=64 time=864
note_on channel=2 note=68 velocity=80 time=96
note_off channel=2 note=68 velocity=64 time=432
note_on channel=2 note=75 velocity=80 time=48
note_off channel=2 note=75 velocity=64 time=648
note_on channel=2 note=68 velocity=80 time=72
note_off channel=2 note=68 velocity=64 time=216
note_on channel=2 note=67 velocity=80 time=24
note_off channel=2 note=67 velocity=64 time=432
note_on channel=2 note=75 velocity=80 time=48
note_off channel=2 note=75 velocity=64 time=864
note_on channel=2 note=74 velocity=80 time=96
note_off channel=2 note=74 velocity=64 time=216
note_on channel=2 note=75 velocity=80 time=24
note_off channel=2 note=75 velocity=64 time=216
note_on channel=2 note=77 velocity=80 time=24
note_off channel=2 note=77 velocity=64 time=648
note_on channel=2 note=72 velocity=80 time=72
note_off channel=2 note=72 velocity=64 time=216
note_on channel=2 note=71 velocity=80 time=24
note_off channel=2 note=71 velocity=64 time=216
note_on channel=2 note=72 velocity=80 time=24
note_off channel=2 note=72 velocity=64 time=216
note_on channel=2 note=74 velocity=80 time=24
note_off channel=2 note=74 velocity=64 time=864
note_on channel=2 note=75 velocity=80 time=96
note_off channel=2 note=75 velocity=64 time=432
note_on channel=2 note=67 velocity=80 time=48
note_off channel=2 note=67 velocity=64 time=648
note_on channel=2 note=75 velocity=80 time=72
note_off channel=2 note=75 velocity=64 time=216
note_on channel=2 note=74 velocity=80 time=24
note_off channel=2 note=74 velocity=64 time=432
note_on channel=2 note=67 velocity=80 time=48
note_off channel=2 note=67 velocity=64 time=864
note_on channel=2 note=72 velocity=80 time=96
note_off channel=2 note=72 velocity=64 time=216
note_on channel=2 note=70 velocity=80 time=24
note_off channel=2 note=70 velocity=64 time=216
note_on channel=2 note=72 velocity=80 time=24
note_off channel=2 note=72 velocity=64 time=648
note_on channel=2 note=75 velocity=80 time=72
note_off channel=2 note=75 velocity=64 time=216
note_on channel=2 note=70 velocity=80 time=24
note_off channel=2 note=70 velocity=64 time=216
note_on channel=2 note=72 velocity=80 time=24
note_off channel=2 note=72 velocity=64 time=216
note_on channel=2 note=70 velocity=80 time=24
note_off channel=2 note=70 velocity=64 time=864
note_on channel=2 note=68 velocity=80 time=96
note_off channel=2 note=68 velocity=64 time=432
note_on channel=2 note=75 velocity=80 time=48
note_off channel=2 note=75 velocity=64 time=864
note_on channel=2 note=67 velocity=80 time=96
note_off channel=2 note=67 velocity=64 time=432
note_on channel=2 note=75 velocity=80 time=48
note_off channel=2 note=75 velocity=64 time=864
note_on channel=2 note=74 velocity=80 time=96
note_off channel=2 note=74 velocity=64 time=216
note_on channel=2 note=75 velocity=80 time=24
note_off channel=2 note=75 velocity=64 time=216
note_on channel=2 note=77 velocity=80 time=24
note_off channel=2 note=77 velocity=64 time=648
note_on channel=2 note=72 velocity=80 time=72
note_off channel=2 note=72 velocity=64 time=216
note_on channel=2 note=71 velocity=80 time=24
note_off channel=2 note=71 velocity=64 time=216
note_on channel=2 note=72 velocity=80 time=24
note_off channel=2 note=72 velocity=64 time=216
note_on channel=2 note=74 velocity=80 time=24
note_off channel=2 note=74 velocity=64 time=432
note_on channel=2 note=71 velocity=80 time=48
note_off channel=2 note=71 velocity=64 time=432
note_on channel=2 note=72 velocity=80 time=48
note_off channel=2 note=72 velocity=64 time=1296
<meta message end_of_track time=88464>
