<meta message track_name name='Piano' time=0>
<meta message instrument_name name='None' time=0>
<meta message key_signature key='A' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
note_on channel=0 note=64 velocity=80 time=240
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=264
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=264
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=264
note_off channel=0 note=71 velocity=64 time=432
note_on channel=0 note=71 velocity=80 time=48
note_off channel=0 note=71 velocity=64 time=1104
note_on channel=0 note=64 velocity=80 time=336
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=264
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=24
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=264
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=264
note_off channel=0 note=71 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_on channel=0 note=71 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=216
note_off channel=0 note=71 velocity=64 time=0
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=864
control_change channel=0 control=7 value=70 time=86
control_change channel=0 control=7 value=70 time=0
control_change channel=0 control=7 value=70 time=0
control_change channel=0 control=7 value=70 time=0
control_change channel=0 control=7 value=70 time=0
control_change channel=0 control=7 value=70 time=0
control_change channel=0 control=7 value=70 time=0
note_on channel=0 note=69 velocity=80 time=490
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=24
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=672
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=24
note_off channel=0 note=71 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=672
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=24
note_off channel=0 note=71 velocity=64 time=672
note_on channel=0 note=76 velocity=80 time=48
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=432
note_on channel=0 note=73 velocity=80 time=48
note_off channel=0 note=73 velocity=64 time=432
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=672
note_on channel=0 note=73 velocity=80 time=48
note_off channel=0 note=73 velocity=64 time=216
note_on channel=0 note=73 velocity=80 time=24
note_off channel=0 note=73 velocity=64 time=216
note_on channel=0 note=73 velocity=80 time=24
note_off channel=0 note=73 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=24
note_off channel=0 note=71 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=672
note_on channel=0 note=76 velocity=80 time=48
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=24
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=24
note_off channel=0 note=71 velocity=64 time=672
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=24
note_off channel=0 note=71 velocity=64 time=216
note_on channel=0 note=73 velocity=80 time=24
note_off channel=0 note=73 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=432
note_on channel=0 note=73 velocity=80 time=48
note_off channel=0 note=73 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=24
note_off channel=0 note=71 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=24
note_off channel=0 note=71 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=73 velocity=80 time=24
note_off channel=0 note=73 velocity=64 time=672
note_on channel=0 note=81 velocity=80 time=48
note_on channel=0 note=73 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=216
note_off channel=0 note=73 velocity=64 time=0
note_on channel=0 note=81 velocity=80 time=24
note_on channel=0 note=73 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=216
note_off channel=0 note=73 velocity=64 time=0
note_on channel=0 note=81 velocity=80 time=24
note_on channel=0 note=73 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=216
note_off channel=0 note=73 velocity=64 time=0
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=456
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_on channel=0 note=76 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=216
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=81 velocity=80 time=24
note_on channel=0 note=76 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=216
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=81 velocity=80 time=24
note_on channel=0 note=76 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=216
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=456
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=456
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=83 velocity=80 time=24
note_off channel=0 note=83 velocity=64 time=216
note_on channel=0 note=86 velocity=80 time=24
note_off channel=0 note=86 velocity=64 time=216
note_on channel=0 note=85 velocity=80 time=24
note_off channel=0 note=85 velocity=64 time=216
note_on channel=0 note=83 velocity=80 time=24
note_off channel=0 note=83 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=456
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=81 velocity=80 time=12
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=76 velocity=80 time=12
note_off channel=0 note=76 velocity=64 time=456
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=81 velocity=80 time=12
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=88 velocity=80 time=12
note_off channel=0 note=88 velocity=64 time=456
note_on channel=0 note=71 velocity=80 time=1944
note_off channel=0 note=71 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_on channel=0 note=76 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=216
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=83 velocity=80 time=24
note_on channel=0 note=76 velocity=80 time=0
note_off channel=0 note=83 velocity=64 time=216
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=85 velocity=80 time=24
note_on channel=0 note=76 velocity=80 time=0
note_off channel=0 note=85 velocity=64 time=216
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=86 velocity=80 time=24
note_on channel=0 note=76 velocity=80 time=0
control_change channel=0 control=7 value=80 time=230
control_change channel=0 control=7 value=80 time=0
control_change channel=0 control=7 value=80 time=0
control_change channel=0 control=7 value=80 time=0
control_change channel=0 control=7 value=80 time=0
control_change channel=0 control=7 value=80 time=0
control_change channel=0 control=7 value=80 time=0
note_off channel=0 note=86 velocity=64 time=226
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=81 velocity=80 time=12
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=81 velocity=80 time=12
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=456
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=88 velocity=80 time=12
note_off channel=0 note=88 velocity=64 time=336
note_on channel=0 note=86 velocity=80 time=24
note_off channel=0 note=86 velocity=64 time=216
note_on channel=0 note=85 velocity=80 time=24
note_off channel=0 note=85 velocity=64 time=216
note_on channel=0 note=83 velocity=80 time=24
note_off channel=0 note=83 velocity=64 time=456
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=76 velocity=80 time=12
note_off channel=0 note=76 velocity=64 time=336
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=83 velocity=80 time=24
note_off channel=0 note=83 velocity=64 time=216
note_on channel=0 note=86 velocity=80 time=24
note_off channel=0 note=86 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=85 velocity=80 time=24
note_off channel=0 note=85 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=83 velocity=80 time=24
note_on channel=0 note=76 velocity=80 time=0
note_off channel=0 note=83 velocity=64 time=216
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_on channel=0 note=76 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=216
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=456
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=81 velocity=80 time=12
note_off channel=0 note=81 velocity=64 time=336
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=456
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=88 velocity=80 time=12
note_off channel=0 note=88 velocity=64 time=336
note_on channel=0 note=86 velocity=80 time=24
note_off channel=0 note=86 velocity=64 time=216
note_on channel=0 note=85 velocity=80 time=24
note_off channel=0 note=85 velocity=64 time=216
note_on channel=0 note=83 velocity=80 time=24
note_off channel=0 note=83 velocity=64 time=456
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=83 velocity=80 time=12
note_off channel=0 note=83 velocity=64 time=336
note_on channel=0 note=86 velocity=80 time=24
note_off channel=0 note=86 velocity=64 time=216
note_on channel=0 note=85 velocity=80 time=24
note_off channel=0 note=85 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
control_change channel=0 control=7 value=60 time=230
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
note_off channel=0 note=81 velocity=64 time=226
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=264
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=264
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=264
note_off channel=0 note=71 velocity=64 time=432
note_on channel=0 note=71 velocity=80 time=48
note_off channel=0 note=71 velocity=64 time=432
note_on channel=0 note=71 velocity=80 time=48
note_off channel=0 note=71 velocity=64 time=648
note_on channel=0 note=64 velocity=80 time=312
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=264
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=24
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=264
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=264
note_off channel=0 note=71 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_on channel=0 note=71 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=216
note_off channel=0 note=71 velocity=64 time=0
note_on channel=0 note=80 velocity=80 time=24
note_off channel=0 note=80 velocity=64 time=864
note_on channel=0 note=69 velocity=80 time=576
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=24
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=672
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=24
note_off channel=0 note=71 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=672
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=24
note_off channel=0 note=71 velocity=64 time=672
note_on channel=0 note=76 velocity=80 time=48
note_off channel=0 note=76 velocity=64 time=216
