<meta message track_name name='Piano' time=0>
<meta message instrument_name name='None' time=0>
<meta message key_signature key='A' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
note_on channel=0 note=57 velocity=80 time=23
note_on channel=0 note=61 velocity=80 time=22
note_on channel=0 note=64 velocity=80 time=23
note_on channel=0 note=69 velocity=80 time=22
note_off channel=0 note=57 velocity=64 time=342
note_off channel=0 note=61 velocity=64 time=0
note_off channel=0 note=64 velocity=64 time=0
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=66 velocity=80 time=48
note_off channel=0 note=66 velocity=64 time=864
note_on channel=0 note=66 velocity=80 time=96
note_off channel=0 note=66 velocity=64 time=432
note_on channel=0 note=61 velocity=80 time=48
note_off channel=0 note=61 velocity=64 time=432
note_on channel=0 note=62 velocity=80 time=48
note_off channel=0 note=62 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=59 velocity=80 time=48
note_off channel=0 note=59 velocity=64 time=1296
note_on channel=0 note=64 velocity=80 time=99
note_on channel=0 note=69 velocity=80 time=45
note_off channel=0 note=64 velocity=64 time=432
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=64 velocity=80 time=48
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=61 velocity=80 time=48
note_on channel=0 note=66 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=864
note_off channel=0 note=66 velocity=64 time=0
note_on channel=0 note=61 velocity=80 time=96
note_on channel=0 note=66 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=432
note_off channel=0 note=66 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=48
note_on channel=0 note=61 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=1296
note_off channel=0 note=61 velocity=64 time=0
note_on channel=0 note=56 velocity=80 time=144
note_on channel=0 note=59 velocity=80 time=0
note_off channel=0 note=56 velocity=64 time=1296
note_off channel=0 note=59 velocity=64 time=0
note_on channel=0 note=61 velocity=80 time=84
note_on channel=0 note=64 velocity=80 time=30
note_on channel=0 note=69 velocity=80 time=30
note_off channel=0 note=61 velocity=64 time=432
note_off channel=0 note=64 velocity=64 time=0
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=61 velocity=80 time=48
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=432
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=61 velocity=80 time=48
note_on channel=0 note=66 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=864
note_off channel=0 note=66 velocity=64 time=0
note_on channel=0 note=61 velocity=80 time=96
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=432
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=56 velocity=80 time=48
note_on channel=0 note=59 velocity=80 time=0
note_off channel=0 note=56 velocity=64 time=864
note_off channel=0 note=59 velocity=64 time=0
note_on channel=0 note=62 velocity=80 time=96
note_off channel=0 note=62 velocity=64 time=432
note_on channel=0 note=57 velocity=80 time=48
note_on channel=0 note=61 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=864
note_off channel=0 note=61 velocity=64 time=0
note_on channel=0 note=56 velocity=80 time=96
note_on channel=0 note=59 velocity=80 time=0
note_off channel=0 note=56 velocity=64 time=432
note_off channel=0 note=59 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=48
note_off channel=0 note=57 velocity=64 time=432
note_on channel=0 note=56 velocity=80 time=48
note_off channel=0 note=56 velocity=64 time=432
note_on channel=0 note=57 velocity=80 time=48
note_off channel=0 note=57 velocity=64 time=432
note_on channel=0 note=54 velocity=80 time=48
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=54 velocity=64 time=864
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=96
note_off channel=0 note=57 velocity=64 time=432
note_on channel=0 note=52 velocity=80 time=48
note_on channel=0 note=57 velocity=80 time=0
note_on channel=0 note=59 velocity=80 time=0
note_off channel=0 note=52 velocity=64 time=1296
note_off channel=0 note=57 velocity=64 time=0
note_off channel=0 note=59 velocity=64 time=0
note_on channel=0 note=69 velocity=80 time=144
note_on channel=0 note=71 velocity=80 time=0
note_off channel=0 note=69 velocity=64 time=1296
note_off channel=0 note=71 velocity=64 time=0
note_on channel=0 note=69 velocity=80 time=54
note_on channel=0 note=73 velocity=80 time=22
note_on channel=0 note=76 velocity=80 time=23
note_on channel=0 note=81 velocity=80 time=22
note_off channel=0 note=69 velocity=64 time=455
note_off channel=0 note=73 velocity=64 time=0
note_off channel=0 note=76 velocity=64 time=0
note_off channel=0 note=81 velocity=64 time=0
note_on channel=0 note=80 velocity=80 time=48
note_off channel=0 note=80 velocity=64 time=432
note_on channel=0 note=76 velocity=80 time=48
note_on channel=0 note=66 velocity=80 time=390
note_on channel=0 note=73 velocity=80 time=22
note_off channel=0 note=76 velocity=64 time=20
note_on channel=0 note=76 velocity=80 time=3
note_on channel=0 note=78 velocity=80 time=22
note_off channel=0 note=66 velocity=64 time=671
note_off channel=0 note=73 velocity=64 time=0
note_off channel=0 note=76 velocity=64 time=0
note_off channel=0 note=78 velocity=64 time=0
note_on channel=0 note=69 velocity=80 time=72
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=78 velocity=80 time=24
note_on channel=0 note=76 velocity=80 time=0
note_on channel=0 note=73 velocity=80 time=0
note_off channel=0 note=78 velocity=64 time=432
note_off channel=0 note=76 velocity=64 time=0
note_off channel=0 note=73 velocity=64 time=0
note_on channel=0 note=64 velocity=80 time=48
note_on channel=0 note=69 velocity=80 time=0
note_on channel=0 note=73 velocity=80 time=0
note_off channel=0 note=64 velocity=64 time=432
note_off channel=0 note=69 velocity=64 time=0
note_off channel=0 note=73 velocity=64 time=0
note_on channel=0 note=74 velocity=80 time=48
note_off channel=0 note=74 velocity=64 time=432
note_on channel=0 note=76 velocity=80 time=48
note_off channel=0 note=76 velocity=64 time=432
note_on channel=0 note=71 velocity=80 time=48
note_off channel=0 note=71 velocity=64 time=1296
note_on channel=0 note=61 velocity=80 time=144
note_on channel=0 note=69 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=432
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=80 time=48
note_on channel=0 note=68 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=432
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=61 velocity=80 time=48
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=432
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=61 velocity=80 time=48
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=648
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=59 velocity=80 time=72
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=59 velocity=64 time=720
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=64 velocity=80 time=0
note_on channel=0 note=69 velocity=80 time=0
note_off channel=0 note=64 velocity=64 time=1296
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=144
note_on channel=0 note=61 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=432
note_off channel=0 note=61 velocity=64 time=0
note_on channel=0 note=59 velocity=80 time=48
note_on channel=0 note=62 velocity=80 time=0
note_off channel=0 note=59 velocity=64 time=432
note_off channel=0 note=62 velocity=64 time=0
note_on channel=0 note=59 velocity=80 time=48
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=59 velocity=64 time=432
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=61 velocity=80 time=48
note_on channel=0 note=69 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=432
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=57 velocity=80 time=48
note_on channel=0 note=61 velocity=80 time=0
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=432
note_off channel=0 note=61 velocity=64 time=0
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=48
note_on channel=0 note=61 velocity=80 time=0
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=864
note_off channel=0 note=61 velocity=64 time=0
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=96
note_on channel=0 note=61 velocity=80 time=0
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=432
note_off channel=0 note=61 velocity=64 time=0
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=48
note_on channel=0 note=61 velocity=80 time=0
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=1296
note_off channel=0 note=61 velocity=64 time=0
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=56 velocity=80 time=144
note_on channel=0 note=59 velocity=80 time=0
note_off channel=0 note=56 velocity=64 time=1296
note_off channel=0 note=59 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=144
note_off channel=0 note=57 velocity=64 time=648
note_on channel=0 note=57 velocity=80 time=72
note_on channel=0 note=64 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=432
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=61 velocity=80 time=48
note_on channel=0 note=69 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=216
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=80 time=24
note_on channel=0 note=69 velocity=80 time=0
note_off channel=0 note=61 velocity=64 time=432
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=59 velocity=80 time=48
note_on channel=0 note=68 velocity=80 time=0
note_off channel=0 note=59 velocity=64 time=432
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=61 velocity=80 time=48
note_on channel=0 note=69 velocity=80 time=0
note_on channel=0 note=64 velocity=80 time=413
note_off channel=0 note=61 velocity=64 time=19
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=69 velocity=80 time=3
note_on channel=0 note=74 velocity=80 time=23
note_on channel=0 note=76 velocity=80 time=22
note_off channel=0 note=64 velocity=64 time=1296
note_off channel=0 note=69 velocity=64 time=0
note_off channel=0 note=74 velocity=64 time=0
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=76 velocity=80 time=54
note_on channel=0 note=81 velocity=80 time=22
note_on channel=0 note=86 velocity=80 time=23
note_on channel=0 note=88 velocity=80 time=22
note_off channel=0 note=76 velocity=64 time=1319
note_off channel=0 note=81 velocity=64 time=0
note_off channel=0 note=86 velocity=64 time=0
note_off channel=0 note=88 velocity=64 time=0
note_on channel=0 note=86 velocity=80 time=54
note_on channel=0 note=88 velocity=80 time=22
note_on channel=0 note=93 velocity=80 time=23
note_on channel=0 note=97 velocity=80 time=22
note_off channel=0 note=86 velocity=64 time=2903
note_off channel=0 note=88 velocity=64 time=0
note_off channel=0 note=93 velocity=64 time=0
note_off channel=0 note=97 velocity=64 time=0
note_on channel=0 note=81 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=81 velocity=80 time=16
note_off channel=0 note=81 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=80 velocity=80 time=16
note_off channel=0 note=80 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=78 velocity=80 time=16
note_off channel=0 note=78 velocity=64 time=144
note_on channel=0 note=66 velocity=80 time=16
note_off channel=0 note=66 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=78 velocity=80 time=16
note_off channel=0 note=78 velocity=64 time=144
note_on channel=0 note=66 velocity=80 time=16
note_off channel=0 note=66 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=76 velocity=80 time=16
note_off channel=0 note=76 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=76 velocity=80 time=16
note_off channel=0 note=76 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=71 velocity=80 time=16
note_off channel=0 note=71 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=66 velocity=80 time=16
note_off channel=0 note=66 velocity=64 time=144
note_on channel=0 note=68 velocity=80 time=16
note_off channel=0 note=68 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=71 velocity=80 time=16
note_off channel=0 note=71 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=74 velocity=80 time=16
note_off channel=0 note=74 velocity=64 time=144
note_on channel=0 note=76 velocity=80 time=16
note_off channel=0 note=76 velocity=64 time=144
note_on channel=0 note=81 velocity=80 time=16
note_off channel=0 note=81 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=81 velocity=80 time=16
note_off channel=0 note=81 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=80 velocity=80 time=16
note_off channel=0 note=80 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=78 velocity=80 time=16
note_off channel=0 note=78 velocity=64 time=144
note_on channel=0 note=66 velocity=80 time=16
note_off channel=0 note=66 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=78 velocity=80 time=16
note_off channel=0 note=78 velocity=64 time=144
note_on channel=0 note=66 velocity=80 time=16
note_off channel=0 note=66 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=76 velocity=80 time=16
note_off channel=0 note=76 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=76 velocity=80 time=16
note_off channel=0 note=76 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=71 velocity=80 time=16
note_off channel=0 note=71 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=68 velocity=80 time=16
note_off channel=0 note=68 velocity=64 time=144
note_on channel=0 note=71 velocity=80 time=16
note_off channel=0 note=71 velocity=64 time=144
note_on channel=0 note=68 velocity=80 time=16
note_off channel=0 note=68 velocity=64 time=144
note_on channel=0 note=76 velocity=80 time=16
note_off channel=0 note=76 velocity=64 time=144
note_on channel=0 note=71 velocity=80 time=16
note_off channel=0 note=71 velocity=64 time=144
note_on channel=0 note=80 velocity=80 time=16
note_off channel=0 note=80 velocity=64 time=144
note_on channel=0 note=76 velocity=80 time=16
note_off channel=0 note=76 velocity=64 time=144
note_on channel=0 note=81 velocity=80 time=16
note_off channel=0 note=81 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=81 velocity=80 time=16
note_off channel=0 note=81 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=80 velocity=80 time=16
note_off channel=0 note=80 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=78 velocity=80 time=16
note_off channel=0 note=78 velocity=64 time=144
note_on channel=0 note=66 velocity=80 time=16
note_off channel=0 note=66 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=78 velocity=80 time=16
note_off channel=0 note=78 velocity=64 time=144
note_on channel=0 note=66 velocity=80 time=16
note_off channel=0 note=66 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=76 velocity=80 time=16
note_off channel=0 note=76 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=76 velocity=80 time=16
note_off channel=0 note=76 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=71 velocity=80 time=16
note_off channel=0 note=71 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=68 velocity=80 time=16
note_off channel=0 note=68 velocity=64 time=144
note_on channel=0 note=74 velocity=80 time=16
note_off channel=0 note=74 velocity=64 time=144
note_on channel=0 note=64 velocity=80 time=16
note_off channel=0 note=64 velocity=64 time=144
note_on channel=0 note=68 velocity=80 time=16
note_off channel=0 note=68 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=61 velocity=80 time=16
note_off channel=0 note=61 velocity=64 time=144
note_on channel=0 note=68 velocity=80 time=16
note_off channel=0 note=68 velocity=64 time=144
note_on channel=0 note=71 velocity=80 time=16
note_off channel=0 note=71 velocity=64 time=144
note_on channel=0 note=61 velocity=80 time=16
note_off channel=0 note=61 velocity=64 time=144
note_on channel=0 note=66 velocity=80 time=16
note_off channel=0 note=66 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=61 velocity=80 time=16
note_off channel=0 note=61 velocity=64 time=144
note_on channel=0 note=66 velocity=80 time=16
note_off channel=0 note=66 velocity=64 time=144
note_on channel=0 note=68 velocity=80 time=16
note_off channel=0 note=68 velocity=64 time=144
note_on channel=0 note=61 velocity=80 time=16
note_off channel=0 note=61 velocity=64 time=144
note_on channel=0 note=66 velocity=80 time=16
note_off channel=0 note=66 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=63 velocity=80 time=16
note_off channel=0 note=63 velocity=64 time=144
note_on channel=0 note=66 velocity=80 time=16
note_off channel=0 note=66 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=63 velocity=80 time=16
note_off channel=0 note=63 velocity=64 time=144
note_on channel=0 note=66 velocity=80 time=16
note_off channel=0 note=66 velocity=64 time=144
note_on channel=0 note=78 velocity=80 time=16
note_off channel=0 note=78 velocity=64 time=144
note_on channel=0 note=69 velocity=80 time=16
note_off channel=0 note=69 velocity=64 time=144
note_on channel=0 note=73 velocity=80 time=16
note_off channel=0 note=73 velocity=64 time=144
note_on channel=0 note=81 velocity=80 time=16
note_off channel=0 note=81 velocity=64 time=144
note_on channel=0 note=72 velocity=80 time=16
note_off channel=0 note=72 velocity=64 time=144
note_on channel=0 note=75 velocity=80 time=16
note_off channel=0 note=75 velocity=64 time=144
note_on channel=0 note=80 velocity=80 time=16
note_off channel=0 note=80 velocity=64 time=144
note_on channel=0 note=72 velocity=80 time=16
