<meta message track_name name='Piano' time=0>
<meta message instrument_name name='None' time=0>
<meta message key_signature key='A' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=91 value=60 time=0
control_change channel=0 control=0 value=0 time=0
control_change channel=0 control=32 value=0 time=0
note_on channel=0 note=57 velocity=90 time=0
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=57 velocity=64 time=600
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=57 velocity=90 time=0
note_on channel=0 note=66 velocity=90 time=0
note_off channel=0 note=57 velocity=64 time=337
note_off channel=0 note=66 velocity=64 time=0
note_on channel=0 note=57 velocity=90 time=23
note_on channel=0 note=66 velocity=90 time=0
note_off channel=0 note=57 velocity=64 time=600
note_off channel=0 note=66 velocity=64 time=0
note_on channel=0 note=57 velocity=90 time=0
note_on channel=0 note=66 velocity=90 time=0
note_off channel=0 note=57 velocity=64 time=337
note_off channel=0 note=66 velocity=64 time=0
note_on channel=0 note=59 velocity=90 time=23
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=59 velocity=64 time=600
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=59 velocity=90 time=0
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=59 velocity=64 time=337
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=59 velocity=90 time=23
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=59 velocity=64 time=324
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=68 velocity=90 time=36
note_off channel=0 note=68 velocity=64 time=240
note_on channel=0 note=59 velocity=90 time=0
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=59 velocity=64 time=324
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=36
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=217
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=23
note_off channel=0 note=61 velocity=64 time=108
note_on channel=0 note=61 velocity=90 time=12
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=240
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=0
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=324
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=36
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=217
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=23
note_off channel=0 note=61 velocity=64 time=108
note_on channel=0 note=61 velocity=90 time=12
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=240
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=0
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=324
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=36
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=217
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=23
note_off channel=0 note=61 velocity=64 time=108
note_on channel=0 note=61 velocity=90 time=12
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=240
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=0
note_on channel=0 note=61 velocity=90 time=120
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=108
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=12
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=84
note_off channel=0 note=61 velocity=64 time=156
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=108
note_on channel=0 note=61 velocity=90 time=12
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=120
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=0
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=240
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=0
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=216
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=24
note_on channel=0 note=64 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=108
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=57 velocity=90 time=12
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=57 velocity=64 time=600
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=57 velocity=90 time=0
note_on channel=0 note=66 velocity=90 time=0
note_off channel=0 note=57 velocity=64 time=337
note_off channel=0 note=66 velocity=64 time=0
note_on channel=0 note=57 velocity=90 time=23
note_on channel=0 note=66 velocity=90 time=0
note_off channel=0 note=57 velocity=64 time=600
note_off channel=0 note=66 velocity=64 time=0
note_on channel=0 note=57 velocity=90 time=0
note_on channel=0 note=66 velocity=90 time=0
note_off channel=0 note=57 velocity=64 time=337
note_off channel=0 note=66 velocity=64 time=0
note_on channel=0 note=59 velocity=90 time=23
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=59 velocity=64 time=600
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=59 velocity=90 time=0
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=59 velocity=64 time=337
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=59 velocity=90 time=23
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=59 velocity=64 time=324
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=68 velocity=90 time=36
note_off channel=0 note=68 velocity=64 time=240
note_on channel=0 note=59 velocity=90 time=0
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=59 velocity=64 time=324
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=36
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=217
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=23
note_off channel=0 note=61 velocity=64 time=108
note_on channel=0 note=61 velocity=90 time=12
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=240
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=0
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=324
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=36
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=217
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=23
note_off channel=0 note=61 velocity=64 time=108
note_on channel=0 note=61 velocity=90 time=12
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=240
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=0
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=324
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=61 velocity=90 time=36
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=61 velocity=64 time=217
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=68 velocity=90 time=23
note_off channel=0 note=68 velocity=64 time=217
note_on channel=0 note=57 velocity=90 time=23
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=57 velocity=64 time=433
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=59 velocity=90 time=47
note_on channel=0 note=71 velocity=90 time=0
note_off channel=0 note=59 velocity=64 time=433
note_off channel=0 note=71 velocity=64 time=0
note_on channel=0 note=64 velocity=90 time=47
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=64 velocity=64 time=433
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=47
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=648
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=78 velocity=90 time=72
note_on channel=0 note=66 velocity=90 time=0
note_off channel=0 note=78 velocity=64 time=108
note_off channel=0 note=66 velocity=64 time=0
note_on channel=0 note=78 velocity=90 time=12
note_on channel=0 note=66 velocity=90 time=0
note_off channel=0 note=66 velocity=64 time=108
note_off channel=0 note=78 velocity=64 time=12
note_on channel=0 note=78 velocity=90 time=0
note_on channel=0 note=66 velocity=90 time=0
note_off channel=0 note=66 velocity=64 time=864
note_off channel=0 note=78 velocity=64 time=2
note_on channel=0 note=80 velocity=90 time=94
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=648
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=81 velocity=90 time=72
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=108
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=69 velocity=64 time=108
note_off channel=0 note=81 velocity=64 time=12
note_on channel=0 note=81 velocity=90 time=0
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=69 velocity=64 time=864
note_off channel=0 note=81 velocity=64 time=2
note_on channel=0 note=80 velocity=90 time=94
note_on channel=0 note=76 velocity=80 time=0
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=324
note_off channel=0 note=76 velocity=64 time=0
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=81 velocity=90 time=36
note_on channel=0 note=76 velocity=80 time=0
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=360
note_off channel=0 note=76 velocity=64 time=0
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=83 velocity=90 time=0
note_on channel=0 note=76 velocity=80 time=0
note_on channel=0 note=71 velocity=90 time=0
note_off channel=0 note=76 velocity=64 time=216
note_off channel=0 note=83 velocity=64 time=1
note_off channel=0 note=71 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=23
note_on channel=0 note=76 velocity=80 time=0
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=324
note_off channel=0 note=76 velocity=64 time=0
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=81 velocity=90 time=36
note_on channel=0 note=73 velocity=80 time=0
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=360
note_off channel=0 note=73 velocity=64 time=0
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=76 velocity=90 time=0
note_on channel=0 note=73 velocity=80 time=0
note_on channel=0 note=64 velocity=90 time=0
note_off channel=0 note=73 velocity=64 time=216
note_off channel=0 note=76 velocity=64 time=1
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=23
note_on channel=0 note=73 velocity=80 time=0
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=324
note_off channel=0 note=73 velocity=64 time=0
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=81 velocity=90 time=36
note_on channel=0 note=73 velocity=80 time=0
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=73 velocity=64 time=108
note_on channel=0 note=73 velocity=80 time=12
note_off channel=0 note=73 velocity=64 time=216
note_off channel=0 note=81 velocity=64 time=24
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=76 velocity=90 time=0
note_on channel=0 note=73 velocity=80 time=0
note_on channel=0 note=64 velocity=90 time=0
note_off channel=0 note=73 velocity=64 time=216
note_off channel=0 note=76 velocity=64 time=1
note_off channel=0 note=64 velocity=64 time=0
note_on channel=0 note=83 velocity=90 time=23
note_on channel=0 note=78 velocity=90 time=0
note_on channel=0 note=71 velocity=90 time=0
note_off channel=0 note=83 velocity=64 time=433
note_off channel=0 note=78 velocity=64 time=0
note_off channel=0 note=71 velocity=64 time=0
note_on channel=0 note=85 velocity=90 time=47
note_on channel=0 note=78 velocity=90 time=0
note_on channel=0 note=73 velocity=90 time=0
note_off channel=0 note=85 velocity=64 time=433
note_off channel=0 note=78 velocity=64 time=0
note_off channel=0 note=73 velocity=64 time=0
note_on channel=0 note=81 velocity=90 time=47
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=360
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=88 velocity=90 time=0
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=88 velocity=64 time=1320
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=0
note_on channel=0 note=68 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=217
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=81 velocity=90 time=23
note_on channel=0 note=69 velocity=90 time=0
note_off channel=0 note=69 velocity=64 time=216
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=88 velocity=90 time=36
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=88 velocity=64 time=1320
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=92 velocity=90 time=0
note_on channel=0 note=80 velocity=90 time=0
note_off channel=0 note=92 velocity=64 time=217
note_off channel=0 note=80 velocity=64 time=0
note_on channel=0 note=93 velocity=90 time=23
note_on channel=0 note=81 velocity=90 time=0
note_off channel=0 note=93 velocity=64 time=324
note_off channel=0 note=81 velocity=64 time=0
note_on channel=0 note=100 velocity=90 time=36
note_on channel=0 note=88 velocity=90 time=0
note_off channel=0 note=100 velocity=64 time=1560
note_off channel=0 note=88 velocity=64 time=0
note_on channel=0 note=66 velocity=90 time=0
note_on channel=0 note=69 velocity=90 time=0
note_on channel=0 note=73 velocity=90 time=0
note_off channel=0 note=66 velocity=64 time=866
note_off channel=0 note=69 velocity=64 time=0
note_off channel=0 note=73 velocity=64 time=0
note_on channel=0 note=85 velocity=90 time=574
note_off channel=0 note=85 velocity=64 time=108
note_on channel=0 note=83 velocity=90 time=12
note_off channel=0 note=83 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=108
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=240
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=240
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=240
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=108
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=108
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=240
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=240
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=240
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=74 velocity=90 time=12
note_off channel=0 note=74 velocity=64 time=108
note_on channel=0 note=73 velocity=90 time=12
note_off channel=0 note=73 velocity=64 time=217
note_on channel=0 note=80 velocity=90 time=23
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=240
note_on channel=0 note=80 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=217
note_on channel=0 note=80 velocity=90 time=23
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=217
note_on channel=0 note=81 velocity=90 time=23
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=240
note_on channel=0 note=81 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=324
note_on channel=0 note=88 velocity=90 time=36
note_on channel=0 note=80 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=216
note_off channel=0 note=88 velocity=64 time=1
note_on channel=0 note=81 velocity=90 time=23
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=240
note_on channel=0 note=81 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=324
note_on channel=0 note=78 velocity=90 time=156
note_off channel=0 note=78 velocity=64 time=108
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=83 velocity=90 time=12
note_off channel=0 note=83 velocity=64 time=108
note_on channel=0 note=85 velocity=90 time=12
note_off channel=0 note=85 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=132
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=108
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=217
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=23
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=240
note_on channel=0 note=81 velocity=90 time=0
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=108
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=217
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=23
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=240
note_on channel=0 note=81 velocity=90 time=0
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=108
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=217
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=23
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=240
note_on channel=0 note=81 velocity=90 time=0
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=108
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=88 velocity=90 time=12
note_off channel=0 note=88 velocity=64 time=108
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=240
note_on channel=0 note=81 velocity=90 time=0
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=76 velocity=64 time=216
note_off channel=0 note=81 velocity=64 time=1
note_on channel=0 note=76 velocity=90 time=23
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=80 velocity=90 time=12
note_off channel=0 note=80 velocity=64 time=217
note_on channel=0 note=76 velocity=90 time=23
note_off channel=0 note=76 velocity=64 time=108
note_on channel=0 note=81 velocity=90 time=12
note_on channel=0 note=76 velocity=90 time=0
note_off channel=0 note=81 velocity=64 time=240
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=80 velocity=90 time=0
note_off channel=0 note=80 velocity=64 time=108
note_on channel=0 note=76 velocity=90 time=12
