<meta message track_name name='Piano' time=0>
<meta message instrument_name name='Microsoft GS ²¨±íÈí¼þºÏ³ÉÆ÷' time=0>
<meta message key_signature key='D' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=64 value=77 time=10
note_on channel=0 note=78 velocity=80 time=470
note_on channel=0 note=69 velocity=80 time=0
note_off channel=0 note=78 velocity=64 time=1176
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=81 velocity=80 time=24
control_change channel=0 control=64 value=0 time=211
note_off channel=0 note=81 velocity=64 time=5
control_change channel=0 control=64 value=81 time=24
note_on channel=0 note=73 velocity=80 time=0
note_off channel=0 note=73 velocity=64 time=864
note_on channel=0 note=74 velocity=80 time=96
note_off channel=0 note=74 velocity=64 time=648
note_on channel=0 note=76 velocity=80 time=72
note_on channel=0 note=67 velocity=80 time=0
control_change channel=0 control=64 value=0 time=211
control_change channel=0 control=64 value=84 time=19
note_off channel=0 note=76 velocity=64 time=226
note_off channel=0 note=67 velocity=64 time=0
note_on channel=0 note=78 velocity=80 time=24
note_off channel=0 note=78 velocity=64 time=648
note_on channel=0 note=81 velocity=80 time=72
note_on channel=0 note=74 velocity=80 time=0
note_off channel=0 note=74 velocity=64 time=432
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=86 velocity=80 time=72
control_change channel=0 control=64 value=0 time=211
note_off channel=0 note=86 velocity=64 time=5
control_change channel=0 control=64 value=78 time=14
note_on channel=0 note=85 velocity=80 time=10
note_on channel=0 note=76 velocity=80 time=0
note_off channel=0 note=85 velocity=64 time=864
note_off channel=0 note=76 velocity=64 time=0
note_on channel=0 note=83 velocity=80 time=96
note_on channel=0 note=74 velocity=80 time=0
control_change channel=0 control=64 value=0 time=941
control_change channel=0 control=64 value=81 time=29
note_off channel=0 note=83 velocity=64 time=206
note_off channel=0 note=74 velocity=64 time=0
note_on channel=0 note=79 velocity=80 time=24
note_on channel=0 note=71 velocity=80 time=0
note_off channel=0 note=79 velocity=64 time=216
note_off channel=0 note=71 velocity=64 time=0
note_on channel=0 note=79 velocity=80 time=24
note_on channel=0 note=71 velocity=80 time=0
note_off channel=0 note=79 velocity=64 time=216
note_off channel=0 note=71 velocity=64 time=0
note_on channel=0 note=78 velocity=80 time=24
note_on channel=0 note=71 velocity=80 time=150
note_on channel=0 note=73 velocity=80 time=30
note_on channel=0 note=79 velocity=80 time=30
control_change channel=0 control=64 value=1 time=1
note_off channel=0 note=78 velocity=64 time=5
control_change channel=0 control=64 value=79 time=14
note_off channel=0 note=71 velocity=64 time=568
note_off channel=0 note=73 velocity=64 time=30
note_off channel=0 note=79 velocity=64 time=30
note_on channel=0 note=83 velocity=80 time=102
note_on channel=0 note=73 velocity=80 time=150
note_on channel=0 note=76 velocity=80 time=30
control_change channel=0 control=64 value=1 time=22
note_on channel=0 note=81 velocity=80 time=8
note_off channel=0 note=83 velocity=64 time=6
control_change channel=0 control=64 value=83 time=14
note_off channel=0 note=73 velocity=64 time=136
note_off channel=0 note=76 velocity=64 time=30
note_off channel=0 note=81 velocity=64 time=30
note_on channel=0 note=81 velocity=80 time=54
note_on channel=0 note=73 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=216
note_off channel=0 note=73 velocity=64 time=0
note_on channel=0 note=81 velocity=80 time=24
note_on channel=0 note=73 velocity=80 time=0
note_off channel=0 note=81 velocity=64 time=216
note_off channel=0 note=73 velocity=64 time=0
note_on channel=0 note=79 velocity=80 time=24
note_on channel=0 note=73 velocity=80 time=0
note_on channel=0 note=71 velocity=80 time=150
note_on channel=0 note=75 velocity=80 time=30
note_on channel=0 note=78 velocity=80 time=30
note_off channel=0 note=79 velocity=64 time=6
note_off channel=0 note=73 velocity=64 time=0
control_change channel=0 control=64 value=0 time=34
control_change channel=0 control=64 value=82 time=9
note_off channel=0 note=75 velocity=64 time=353
note_off channel=0 note=71 velocity=64 time=186
note_off channel=0 note=78 velocity=64 time=60
note_on channel=0 note=71 velocity=80 time=102
note_on channel=0 note=71 velocity=80 time=150
note_on channel=0 note=74 velocity=80 time=30
note_on channel=0 note=81 velocity=80 time=30
note_off channel=0 note=71 velocity=64 time=6
control_change channel=0 control=64 value=0 time=5
control_change channel=0 control=64 value=79 time=38
note_off channel=0 note=71 velocity=64 time=107
note_off channel=0 note=74 velocity=64 time=30
note_off channel=0 note=81 velocity=64 time=30
note_on channel=0 note=79 velocity=80 time=54
note_on channel=0 note=71 velocity=80 time=0
note_off channel=0 note=79 velocity=64 time=216
note_off channel=0 note=71 velocity=64 time=0
note_on channel=0 note=79 velocity=80 time=24
note_on channel=0 note=71 velocity=80 time=0
note_off channel=0 note=79 velocity=64 time=216
note_off channel=0 note=71 velocity=64 time=0
note_on channel=0 note=78 velocity=80 time=24
note_off channel=0 note=78 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=648
note_on channel=0 note=71 velocity=80 time=72
control_change channel=0 control=64 value=0 time=211
note_off channel=0 note=71 velocity=64 time=5
control_change channel=0 control=64 value=85 time=24
note_on channel=0 note=57 velocity=64 time=0
note_on channel=0 note=64 velocity=64 time=0
note_on channel=0 note=67 velocity=64 time=0
note_on channel=0 note=69 velocity=64 time=0
note_off channel=0 note=57 velocity=64 time=864
note_off channel=0 note=64 velocity=64 time=0
note_off channel=0 note=67 velocity=64 time=0
note_off channel=0 note=69 velocity=64 time=0
note_on channel=0 note=73 velocity=80 time=6
note_on channel=0 note=81 velocity=80 time=22
note_on channel=0 note=88 velocity=80 time=23
note_on channel=0 note=93 velocity=80 time=22
note_off channel=0 note=73 velocity=64 time=797
note_off channel=0 note=81 velocity=64 time=22
note_off channel=0 note=88 velocity=64 time=23
note_off channel=0 note=93 velocity=64 time=22
control_change channel=0 control=64 value=0 time=109
control_change channel=0 control=64 value=85 time=20
note_on channel=0 note=69 velocity=80 time=230
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=648
note_on channel=0 note=81 velocity=80 time=72
note_off channel=0 note=81 velocity=64 time=216
control_change channel=0 control=64 value=0 time=5
note_on channel=0 note=81 velocity=80 time=19
control_change channel=0 control=64 value=84 time=10
note_off channel=0 note=81 velocity=64 time=206
note_on channel=0 note=83 velocity=80 time=24
note_off channel=0 note=83 velocity=64 time=324
note_on channel=0 note=79 velocity=80 time=36
note_off channel=0 note=79 velocity=64 time=216
note_on channel=0 note=78 velocity=80 time=24
note_off channel=0 note=78 velocity=64 time=108
note_on channel=0 note=79 velocity=80 time=12
control_change channel=0 control=64 value=0 time=941
control_change channel=0 control=64 value=84 time=48
note_off channel=0 note=79 velocity=64 time=187
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=78 velocity=80 time=24
note_off channel=0 note=78 velocity=64 time=216
note_on channel=0 note=79 velocity=80 time=24
note_off channel=0 note=79 velocity=64 time=216
note_on channel=0 note=85 velocity=80 time=24
note_off channel=0 note=85 velocity=64 time=432
note_on channel=0 note=76 velocity=80 time=48
note_on channel=0 note=69 velocity=80 time=150
note_on channel=0 note=76 velocity=80 time=30
note_on channel=0 note=79 velocity=80 time=30
note_off channel=0 note=76 velocity=64 time=6
control_change channel=0 control=64 value=0 time=14
control_change channel=0 control=64 value=85 time=10
note_off channel=0 note=69 velocity=64 time=234
note_off channel=0 note=76 velocity=64 time=30
note_off channel=0 note=79 velocity=64 time=30
note_on channel=0 note=81 velocity=80 time=66
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=78 velocity=80 time=24
note_off channel=0 note=78 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=108
control_change channel=0 control=64 value=0 time=2
note_on channel=0 note=78 velocity=80 time=10
control_change channel=0 control=64 value=84 time=19
note_off channel=0 note=78 velocity=64 time=197
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=73 velocity=80 time=24
control_change channel=0 control=64 value=0 time=202
control_change channel=0 control=64 value=83 time=28
note_off channel=0 note=73 velocity=64 time=226
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=78 velocity=80 time=24
note_off channel=0 note=78 velocity=64 time=648
note_on channel=0 note=81 velocity=80 time=72
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=86 velocity=80 time=12
control_change channel=0 control=64 value=1 time=91
note_off channel=0 note=86 velocity=64 time=17
control_change channel=0 control=64 value=81 time=12
note_on channel=0 note=85 velocity=80 time=0
note_off channel=0 note=85 velocity=64 time=324
note_on channel=0 note=86 velocity=80 time=36
note_off channel=0 note=86 velocity=64 time=324
note_on channel=0 note=83 velocity=80 time=36
note_off channel=0 note=83 velocity=64 time=216
note_on channel=0 note=95 velocity=80 time=24
note_off channel=0 note=95 velocity=64 time=648
note_on channel=0 note=74 velocity=80 time=72
note_off channel=0 note=74 velocity=64 time=108
note_on channel=0 note=76 velocity=80 time=12
note_off channel=0 note=76 velocity=64 time=108
control_change channel=0 control=64 value=0 time=2
note_on channel=0 note=78 velocity=80 time=10
control_change channel=0 control=64 value=81 time=10
note_off channel=0 note=78 velocity=64 time=206
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=78 velocity=80 time=24
note_off channel=0 note=78 velocity=64 time=216
note_on channel=0 note=86 velocity=80 time=24
note_off channel=0 note=86 velocity=64 time=648
note_on channel=0 note=78 velocity=80 time=72
note_on channel=0 note=78 velocity=80 time=159
note_off channel=0 note=78 velocity=64 time=27
note_on channel=0 note=79 velocity=80 time=0
note_off channel=0 note=79 velocity=64 time=27
note_on channel=0 note=78 velocity=80 time=0
note_off channel=0 note=78 velocity=64 time=3
control_change channel=0 control=64 value=0 time=5
note_off channel=0 note=78 velocity=64 time=19
note_on channel=0 note=76 velocity=80 time=0
control_change channel=0 control=64 value=82 time=19
note_off channel=0 note=76 velocity=64 time=629
note_on channel=0 note=74 velocity=80 time=72
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=73 velocity=80 time=24
note_off channel=0 note=73 velocity=64 time=432
note_on channel=0 note=71 velocity=80 time=48
control_change channel=0 control=64 value=1 time=451
control_change channel=0 control=64 value=88 time=29
note_off channel=0 note=71 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=648
note_on channel=0 note=81 velocity=80 time=72
control_change channel=0 control=64 value=0 time=202
note_off channel=0 note=81 velocity=64 time=14
control_change channel=0 control=64 value=85 time=14
note_on channel=0 note=81 velocity=80 time=10
note_off channel=0 note=81 velocity=64 time=324
note_on channel=0 note=83 velocity=80 time=36
note_off channel=0 note=83 velocity=64 time=216
note_on channel=0 note=79 velocity=80 time=24
note_off channel=0 note=79 velocity=64 time=216
note_on channel=0 note=78 velocity=80 time=24
note_off channel=0 note=78 velocity=64 time=108
note_on channel=0 note=79 velocity=80 time=12
control_change channel=0 control=64 value=0 time=912
control_change channel=0 control=7 value=90 time=28
control_change channel=0 control=64 value=87 time=1
control_change channel=0 control=7 value=91 time=127
note_off channel=0 note=79 velocity=64 time=108
control_change channel=0 control=7 value=93 time=20
note_on channel=0 note=76 velocity=80 time=4
control_change channel=0 control=7 value=94 time=125
note_off channel=0 note=76 velocity=64 time=91
note_on channel=0 note=76 velocity=80 time=24
control_change channel=0 control=7 value=96 time=13
note_off channel=0 note=76 velocity=64 time=203
note_on channel=0 note=78 velocity=80 time=24
control_change channel=0 control=7 value=97 time=30
control_change channel=0 control=7 value=99 time=128
note_off channel=0 note=78 velocity=64 time=58
note_on channel=0 note=79 velocity=80 time=24
control_change channel=0 control=7 value=100 time=46
control_change channel=0 control=7 value=102 time=129
note_off channel=0 note=79 velocity=64 time=149
note_on channel=0 note=85 velocity=80 time=36
control_change channel=0 control=7 value=103 time=71
control_change channel=0 control=7 value=105 time=129
note_off channel=0 note=85 velocity=64 time=16
note_on channel=0 note=76 velocity=80 time=24
control_change channel=0 control=7 value=106 time=88
control_change channel=0 control=7 value=108 time=128
note_on channel=0 note=69 velocity=64 time=54
note_on channel=0 note=74 velocity=64 time=30
note_off channel=0 note=76 velocity=64 time=24
note_on channel=0 note=79 velocity=64 time=6
control_change channel=0 control=64 value=1 time=20
control_change channel=0 control=64 value=86 time=29
control_change channel=0 control=7 value=109 time=94
note_off channel=0 note=74 velocity=64 time=43
note_off channel=0 note=69 velocity=64 time=78
control_change channel=0 control=7 value=111 time=7
note_off channel=0 note=79 velocity=64 time=53
note_on channel=0 note=81 velocity=80 time=66
control_change channel=0 control=7 value=113 time=10
control_change channel=0 control=7 value=115 time=128
note_off channel=0 note=81 velocity=64 time=78
