<meta message track_name name='Sound 1' time=0>
<meta message instrument_name name='Microsoft GS ²¨±íÈí¼þºÏ³ÉÆ÷' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=10 value=64 time=0
note_on channel=0 note=84 velocity=80 time=1200
note_off channel=0 note=84 velocity=64 time=108
note_on channel=0 note=86 velocity=80 time=12
note_off channel=0 note=86 velocity=64 time=108
note_on channel=0 note=88 velocity=80 time=12
note_off channel=0 note=88 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=88 velocity=80 time=24
note_off channel=0 note=88 velocity=64 time=216
note_on channel=0 note=86 velocity=80 time=24
note_off channel=0 note=86 velocity=64 time=324
note_on channel=0 note=83 velocity=80 time=36
note_off channel=0 note=83 velocity=64 time=108
note_on channel=0 note=79 velocity=80 time=12
note_off channel=0 note=79 velocity=64 time=216
note_on channel=0 note=84 velocity=80 time=24
note_off channel=0 note=84 velocity=64 time=1368
note_on channel=0 note=91 velocity=80 time=72
note_off channel=0 note=91 velocity=64 time=1152
note_on channel=0 note=72 velocity=80 time=48
note_off channel=0 note=72 velocity=64 time=108
note_on channel=0 note=74 velocity=80 time=12
note_off channel=0 note=74 velocity=64 time=108
note_on channel=0 note=76 velocity=80 time=12
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=324
note_on channel=0 note=71 velocity=80 time=36
note_off channel=0 note=71 velocity=64 time=108
note_on channel=0 note=67 velocity=80 time=12
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_on channel=0 note=67 velocity=80 time=0
note_off channel=0 note=67 velocity=64 time=2592
note_on channel=0 note=84 velocity=80 time=48
note_off channel=0 note=84 velocity=64 time=108
note_on channel=0 note=86 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=48
note_off channel=0 note=86 velocity=64 time=60
note_on channel=0 note=88 velocity=80 time=12
note_off channel=0 note=88 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=88 velocity=80 time=24
note_off channel=0 note=88 velocity=64 time=216
note_on channel=0 note=86 velocity=80 time=24
note_off channel=0 note=86 velocity=64 time=324
note_on channel=0 note=79 velocity=80 time=36
note_off channel=0 note=79 velocity=64 time=108
note_on channel=0 note=86 velocity=80 time=12
note_off channel=0 note=86 velocity=64 time=216
note_on channel=0 note=84 velocity=80 time=24
note_off channel=0 note=84 velocity=64 time=324
note_on channel=0 note=77 velocity=80 time=36
note_off channel=0 note=77 velocity=64 time=108
note_on channel=0 note=81 velocity=80 time=12
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=84 velocity=80 time=12
note_off channel=0 note=84 velocity=64 time=108
note_on channel=0 note=83 velocity=80 time=12
note_off channel=0 note=83 velocity=64 time=216
note_on channel=0 note=76 velocity=80 time=24
note_off channel=0 note=76 velocity=64 time=216
note_on channel=0 note=79 velocity=80 time=24
