120890 88,76 121106
121130 96,84 121238
121250 96,84 121490
121490 96,84 121598
121610 95,83 121826
121850 95,83 122066
122090 91,79 122198
122210 91,79 122450
122450 89,77 122558
122570 88,76 122678
122690 86,74 122798
122810 84,72 123026
123050 86,74 123158
123170 88,76 123410
123410 89,77 123518
123530 88,76 124250
124250 86,74 124682
124730 84,72 124947
124970 84,72 125078
125090 83,71 125198
125210 84,72 125427
125450 91,79 125667
125690 84,72 125907
125930 84,72 126038
126050 83,71 126158
126170 84,72 126387
126410 79,67 126627
126650 84,72 126867
126890 84,72 126998
127010 83,71 127118
127130 84,72 127238
127250 79,67 127358
127370 84,72 127478
127490 86,74 127598
127610 88,76 127827
127850 88,76 127958
127970 89,77 128078
128090 88,76 128198
128210 86,74 128318
128330 84,72 128438
128450 83,71 128558
128570 84,72 128787
128810 84,72 128918
128930 83,71 129038
129050 84,72 129267
129290 91,79 129507
129530 84,72 129747
129770 84,72 129878
129890 83,71 129998
130010 84,72 130227
